,timestamp,topic,source,ux,uy,uz,uyaw
,1772303319.863122,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.883146,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.904018,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.923114,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.946842,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.963161,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303319.983169,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.003201,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.026847,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.043232,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.063564,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.083277,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.103067,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.122995,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.143200,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.166773,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.183256,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.203118,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.223164,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.243134,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.265003,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.286419,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.303192,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.323347,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.343392,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.363150,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.383057,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.405784,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.424706,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.443131,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.466803,/drone1/cmd_vel,manual,0.3,0,0,0
,1772303320.484454,/drone1/cmd_vel,manual,0.3,0,0,0
