t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
27.14,-7.226027879740458e-19,2.186816016385218e-19,7.38781512622545e-20,0.17454947895862624,1.6510656655956988e-19,-5.0498366051267813e-20,-1.883321829653998e-20,-3.991376978409252e-06,0.0,0.0,0.0,0.17453292519943295,2.548431097129336e-19,-5.774839677091351e-20,-2.3563810389833945e-20,-8.39763453182437e-06,1.4847247370708063e-20,-6.407327425911535e-21,-3.6208741401612794e-21,-1.3703104281006696e-06,1.4847247370708063e-20,-6.407327425911535e-21,-3.6208741401612794e-21,-1.3703104281006696e-06
27.16,-7.193158042459858e-19,2.1767631482344382e-19,7.350347335960728e-20,0.1745493995141846,1.6434918640300203e-19,-5.026434075389784e-20,-1.873389513236149e-20,-3.972222081836659e-06,0.0,0.0,0.0,0.17453292519943295,2.536742943072287e-19,-5.747895523974944e-20,-2.3439940785401603e-20,-8.357333318591893e-06,1.4779201326788636e-20,-6.377653579516343e-21,-3.60184002640714e-21,-1.3637341508706607e-06,1.4779201326788636e-20,-6.377653579516343e-21,-3.60184002640714e-21,-1.3637341508706607e-06
27.18,-7.1604389812383305e-19,2.1667568667518126e-19,7.313077129929597e-20,0.17454932045100252,1.6359530610763775e-19,-5.003140741312851e-20,-1.8635103015565284e-20,-3.953159104122278e-06,0.0,0.0,0.0,0.17453292519943295,2.5251087966250334e-19,-5.721077897573756e-20,-2.3316750919464413e-20,-8.317225505327968e-06,1.4711469482733922e-20,-6.348118122544802e-21,-3.58291036297315e-21,-1.3571894322888282e-06,1.4711469482733922e-20,-6.348118122544802e-21,-3.58291036297315e-21,-1.3571894322888282e-06
27.2,-7.127869999358537e-19,2.1567969545708167e-19,7.27600345108777e-20,0.17454924176725042,1.628449093989691e-19,-4.9799560904979175e-20,-1.8536839420913238e-20,-3.934187604281819e-06,0.0,0.0,0.0,0.17453292519943295,2.513528406631401e-19,-5.694386200673166e-20,-2.3194237152023903e-20,-8.277310164072196e-06,1.4644050378380838e-20,-6.3187204058263865e-21,-3.5640845905280256e-21,-1.3506761209323148e-06,1.4644050378380838e-20,-6.3187204058263865e-21,-3.5640845905280256e-21,-1.3506761209323148e-06
27.22,-7.095450403342828e-19,2.1468831953448914e-19,7.239125247432098e-20,0.17454916346110755,1.6209798007854512e-19,-4.9568796129626236e-20,-1.8439101827836577e-20,-3.915307143444531e-06,0.0,0.0,0.0,0.17453292519943295,2.502001523111139e-19,-5.667819838895331e-20,-2.307239585733269e-20,-8.237586371382584e-06,1.4576942560398065e-20,-6.2894597832563225e-21,-3.54536215193034e-21,-1.3441940661155686e-06,1.4576942560398065e-20,-6.2894597832563225e-21,-3.54536215193034e-21,-1.3441940661155686e-06
27.240000000000002,-7.063179502938103e-19,2.1370153737426335e-19,7.202441471990973e-20,0.17454908553076184,1.6135450202361926e-19,-4.9339108011289755e-20,-1.8341887720562615e-20,-3.896517284844355e-06,0.0,0.0,0.0,0.17453292519943295,2.490527897250833e-19,-5.6413782206732e-20,-2.2951223424121907e-20,-8.198053208179492e-06,1.4510144582233736e-20,-6.260335611769362e-21,-3.5267424922634705e-21,-1.3377431178648792e-06,1.4510144582233736e-20,-6.260335611769362e-21,-3.5267424922634705e-21,-1.3377431178648792e-06
27.26,-7.031056611100745e-19,2.1271932754430098e-19,7.165951082814489e-20,0.17454900797440998,1.606144591867904e-19,-4.9110491498118623e-20,-1.824519458824205e-20,-3.877817593808631e-06,0.0,0.0,0.0,0.17453292519943295,2.4791072814020507e-19,-5.615060757249766e-20,-2.2830716255457163e-20,-8.158709759861397e-06,1.4443655004104236e-20,-6.231347251337264e-21,-3.508225058813468e-21,-1.3313231269372658e-06,1.4443655004104236e-20,-6.231347251337264e-21,-3.508225058813468e-21,-1.3313231269372658e-06
27.28,-6.999081043981615e-19,2.1174166871305942e-19,7.129653042964349e-20,0.1745489307902572,1.5987783559565368e-19,-4.888294156207827e-20,-1.814901992507014e-20,-3.859207637749385e-06,0.0,0.0,0.0,0.17453292519943295,2.4677394290700635e-19,-5.588866862644551e-20,-2.2710870769076793e-20,-8.119555116058103e-06,1.437747239292937e-20,-6.2024940649354454e-21,-3.48980930112103e-21,-1.3249339447802083e-06,1.437747239292937e-20,-6.2024940649354454e-21,-3.48980930112103e-21,-1.3249339447802083e-06
27.3,-6.967252120911127e-19,2.107685396490827e-19,7.093546320503527e-20,0.17454885397651748,1.5914461535244003e-19,-4.865645319883569e-20,-1.8053361230410615e-20,-3.840686986150536e-06,0.0,0.0,0.0,0.17453292519943295,2.456424094916789e-19,-5.562795953669289e-20,-2.259168339699913e-20,-8.08058837092686e-06,1.4311595322348544e-20,-6.173775418555987e-21,-3.471494670921155e-21,-1.3185754235799671e-06,1.4311595322348544e-20,-6.173775418555987e-21,-3.471494670921155e-21,-1.3185754235799671e-06
27.32,-6.935569164384391e-19,2.097999192205297e-19,7.05762988848571e-20,0.17454877753141326,1.5841478263367608e-19,-4.8431021427649684e-20,-1.7958216008909032e-20,-3.822255210560983e-06,0.0,0.0,0.0,0.17453292519943295,2.4451610347491115e-19,-5.536847449893088e-20,-2.2473150585880632e-20,-8.041808622901988e-06,1.424602237265362e-20,-6.145190681173042e-21,-3.453280622198171e-21,-1.3122474162207266e-06,1.424602237265362e-20,-6.145190681173042e-21,-3.453280622198171e-21,-1.3122474162207266e-06
27.34,-6.904031500046425e-19,2.0883578639470455e-19,7.021902724944491e-20,0.17454870145317558,1.5768832168983159e-19,-4.820664129125814e-20,-1.7863581770609473e-20,-3.8039118845834795e-06,0.0,0.0,0.0,0.17453292519943295,2.4339500055170895e-19,-5.511020773641676e-20,-2.2355268796866364e-20,-8.003214974808535e-06,1.4180752130778147e-20,-6.116739224740359e-21,-3.435166611162763e-21,-1.3059497763031414e-06,1.4180752130778147e-20,-6.116739224740359e-21,-3.435166611162763e-21,-1.3059497763031414e-06
27.36,-6.87263845667743e-19,2.078761202375892e-19,6.98636381288236e-20,0.1745486257400439,1.5696521684497643e-19,-4.7983307855767817e-20,-1.7769456031065277e-20,-3.7856565838660283e-06,0.0,0.0,0.0,0.17453292519943295,2.4227907653027375e-19,-5.485315349963856e-20,-2.2238034505922164e-20,-7.964806533613435e-06,1.4115783190232837e-20,-6.0884204241579964e-21,-3.417152096303013e-21,-1.2996823581037331e-06,1.4115783190232837e-20,-6.0884204241579964e-21,-3.417152096303013e-21,-1.2996823581037331e-06
27.38,-6.841389366178144e-19,2.0692089991337837e-19,6.951012140259455e-20,0.17454855039026618,1.5624545249642646e-19,-4.776101621054138e-20,-1.7675836311452685e-20,-3.7674888860891647e-06,0.0,0.0,0.0,0.17453292519943295,2.4116830733230075e-19,-5.459730606647546e-20,-2.2121444203436103e-20,-7.926582410719646e-06,1.4051114151121993e-20,-6.0602336572856e-21,-3.399236538323159e-21,-1.2934450166228839e-06,1.4051114151121993e-20,-6.0602336572856e-21,-3.399236538323159e-21,-1.2934450166228839e-06
27.400000000000002,-6.810283563555262e-19,2.0597010468401658e-19,6.915846699982107e-20,0.17454847540209875,1.5552901311440932e-19,-4.7539761468089687e-20,-1.7582720138674154e-20,-3.7494083709590765e-06,0.0,0.0,0.0,0.17453292519943295,2.400626689918221e-19,-5.434265974184917e-20,-2.2005494394569674e-20,-7.888541721713863e-06,1.3986743620077017e-20,-6.032178304907899e-21,-3.3814194001975596e-21,-1.287237607543671e-06,1.3986743620077017e-20,-6.032178304907899e-21,-3.3814194001975596e-21,-1.287237607543671e-06
27.42,-6.779320386906918e-19,2.0502371390873736e-19,6.880866489891177e-20,0.17454840077380634,1.5481588324171787e-19,-4.731953876396098e-20,-1.7490105045465115e-20,-3.731414620196477e-06,0.0,0.0,0.0,0.17453292519943295,2.3896213765503437e-19,-5.408920885771861e-20,-2.1890181599101287e-20,-7.850683586478317e-06,1.3922670210246018e-20,-6.0042537507324655e-21,-3.3637001471466472e-21,-1.281059987250109e-06,1.3922670210246018e-20,-6.0042537507324655e-21,-3.3637001471466472e-21,-1.281059987250109e-06
27.44,-6.748499177408244e-19,2.040817070436047e-19,6.846070512750187e-20,0.174548326503662,1.541060474933732e-19,-4.710034325663269e-20,-1.739798857049495e-20,-3.7135072175279636e-06,0.0,0.0,0.0,0.17453292519943295,2.3786668957962406e-19,-5.3836947772901107e-20,-2.1775502351526515e-20,-7.81300712911927e-06,1.3858892541254793e-20,-5.976459381371111e-21,-3.3460782466523285e-21,-1.2749120128154827e-06,1.3858892541254793e-20,-5.976459381371111e-21,-3.3460782466523285e-21,-1.2749120128154827e-06
27.46,-6.717819279296987e-19,2.0314406364105667e-19,6.811457776233253e-20,0.17454825258994702,1.533994905562858e-19,-4.6882170127402874e-20,-1.7306368258466964e-20,-3.6956857486764604e-06,0.0,0.0,0.0,0.17453292519943295,2.367763011339011e-19,-5.358587087282391e-20,-2.166145320125644e-20,-7.775511477806898e-06,1.3795409239156923e-20,-5.9487945863148396e-21,-3.328553168488466e-21,-1.268793541976218e-06,1.3795409239156923e-20,-5.9487945863148396e-21,-3.328553168488466e-21,-1.268793541976218e-06
27.48,-6.687280039859205e-19,2.0221076334945107e-19,6.777027292912814e-20,0.174548179030951,1.5269619718891106e-19,-4.666501458028024e-20,-1.7215241660219156e-20,-3.6779498013491848e-06,0.0,0.0,0.0,0.17453292519943295,2.356909487970941e-19,-5.333597256967996e-20,-2.15480307122193e-20,-7.738195765066124e-06,1.373221893645e-20,-5.9212587579468e-21,-3.3111243846596632e-21,-1.2627044331793407e-06,1.373221893645e-20,-5.9212587579468e-21,-3.3111243846596632e-21,-1.2627044331793407e-06
27.5,-6.65688080941502e-19,2.012817859126135e-19,6.742778080247184e-20,0.17454810582497168,1.5199615222092402e-19,-4.6448871841879303e-20,-1.7124606332815006e-20,-3.6602989652313627e-06,0.0,0.0,0.0,0.17453292519943295,2.3461060915818534e-19,-5.308724730207933e-20,-2.1435231463212228e-20,-7.70105912752117e-06,1.366932027200871e-20,-5.893851291507695e-21,-3.2937913694553175e-21,-1.256644545540793e-06,1.366932027200871e-20,-5.893851291507695e-21,-3.2937913694553175e-21,-1.256644545540793e-06
