t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
29.98,1.8077904341963134e-18,0.200007289173734,-2.2482676516264186e-19,-3.756492117606831e-19,-3.745422752140091e-19,-1.5671418258040591e-06,5.0305393842864035e-20,1.120587847550721e-19,0.0,0.2,0.0,0.0,-5.488501851935097e-19,-3.389715262656267e-06,6.432532275409888e-20,2.3067953278633096e-19,-3.382099925964676e-20,-2.147673672384399e-07,9.884390252025192e-21,3.764185832671941e-20,-3.382099925964676e-20,-2.147673672384399e-07,9.884390252025192e-21,3.764185832671941e-20
30.0,1.8003305838033434e-18,0.20000725796509194,-2.2382546506884174e-19,-3.734206225480704e-19,-3.7299251964850794e-19,-1.5604321024040427e-06,5.0065004690006655e-20,1.1142946063063592e-19,0.0,0.2,0.0,0.0,-5.465799387670232e-19,-3.3752021805999875e-06,6.402600783172067e-20,2.2937723897254715e-19,-3.3681103630328857e-20,-2.1384783973178432e-07,9.838396771163063e-21,3.742935243750548e-20,-3.3681103630328857e-20,-2.1384783973178432e-07,9.838396771163063e-21,3.742935243750548e-20
30.02,1.792901599939157e-18,0.2000072268900698,-2.2282894687851564e-19,-3.7120455157768385e-19,-3.7144919320931086e-19,-1.5537511066390511e-06,4.9825909516304875e-20,1.1080354851932627e-19,0.0,0.2,0.0,0.0,-5.443191074875743e-19,-3.360751236292925e-06,6.372825776712031e-20,2.2808203075223024e-19,-3.3541788170313225e-20,-2.1293224918141312e-07,9.7926437502676e-21,3.721800276229207e-20,-3.3541788170313225e-20,-2.1293224918141312e-07,9.7926437502676e-21,3.721800276229207e-20
30.04,1.7855033545559716e-18,0.2000071959480955,-2.2183718486805803e-19,-3.6900093097026385e-19,-3.699122691592799e-19,-1.5470987155134816e-06,4.9588100522879825e-20,1.1018103037100106e-19,0.0,0.2,0.0,0.0,-5.420676522108254e-19,-3.3463621636775517e-06,6.34320630777377e-20,2.2679387054555084e-19,-3.340305046753845e-20,-2.120205787303131e-07,9.747129732224861e-21,3.700780316887233e-20,-3.340305046753845e-20,-2.120205787303131e-07,9.747129732224861e-21,3.700780316887233e-20
30.060000000000002,1.778135720138517e-18,0.20000716513859937,-2.208501534689193e-19,-3.668096932056782e-19,-3.6838172087272822e-19,-1.5404748065579952e-06,4.9351569956937407e-20,1.0956188822928206e-19,0.0,0.2,0.0,0.0,-5.398255339560501e-19,-3.332034697901783e-06,6.313741434198943e-20,2.255127209685738e-19,-3.3264888120024343e-20,-2.1111281159784623e-07,9.701853269290734e-21,3.679874755700505e-20,-3.3264888120024343e-20,-2.1111281159784623e-07,9.701853269290734e-21,3.679874755700505e-20
30.080000000000002,1.7707985697018177e-18,0.2000071344610142,-2.198678272666876e-19,-3.6463077112105656e-19,-3.66857521834965e-19,-1.5338792578284718e-06,4.911631011158494e-20,1.0894610423107999e-19,0.0,0.2,0.0,0.0,-5.375927139037796e-19,-3.3177685750822078e-06,6.28443022015217e-20,2.2423854483124663e-19,-3.312729873572691e-20,-2.1020893106474814e-07,9.656812923437128e-21,3.659082985808642e-20,-3.312729873572691e-20,-2.1020893106474814e-07,9.656812923437128e-21,3.659082985808642e-20
30.1,1.7634917767889815e-18,0.20000710391477525,-2.1889018100017375e-19,-3.624640979089345e-19,-3.653396456418053e-19,-1.527311947900749e-06,4.8882313325693463e-20,1.0833366060610383e-19,0.0,0.2,0.0,0.0,-5.353691533979862e-19,-3.3035635326875166e-06,6.255271735642721e-20,2.2297130513812656e-19,-3.2990279932672936e-20,-2.0930892049742175e-07,9.612007265616988e-21,3.6384044035268735e-20,-3.2990279932672936e-20,-2.0930892049742175e-07,9.612007265616988e-21,3.6384044035268735e-20
30.12,1.7562152154689984e-18,0.20000707349932012,-2.179171895605002e-19,-3.603096071154064e-19,-3.6382806599914553e-19,-1.52077275587249e-06,4.864957198367776e-20,1.0772453967640412e-19,0.0,0.2,0.0,0.0,-5.331548139423197e-19,-3.2894193091220903e-06,6.226265056969759e-20,2.217109650855261e-19,-3.285382933872805e-20,-2.084127633215538e-07,9.567434876448464e-21,3.617838408299451e-20,-3.285382933872805e-20,-2.084127633215538e-07,9.567434876448464e-21,3.617838408299451e-20
30.14,1.748968760334549e-18,0.20000704321408888,-2.1694882799019294e-19,-3.5816723263828876e-19,-3.6232275672247186e-19,-1.5142615613574742e-06,4.841807851536264e-20,1.0711872385588425e-19,0.0,0.2,0.0,0.0,-5.309496572017172e-19,-3.27533564402195e-06,6.19740926633292e-20,2.20457488061902e-19,-3.271794459169593e-20,-2.0752044304086604e-07,9.523094345616525e-21,3.5973844027060034e-20,-3.271794459169593e-20,-2.0752044304086604e-07,9.523094345616525e-21,3.5973844027060034e-20
30.16,1.7417522864998203e-18,0.200007013058524,-2.1598507148227728e-19,-3.5603690872529194e-19,-3.608236917364218e-19,-1.507778244485464e-06,4.8187825395782847e-20,1.0651619564983975e-19,0.0,0.2,0.0,0.0,-5.287536450012121e-19,-3.2613122781920726e-06,6.168703451880198e-20,2.1921083764655776e-19,-3.258262333924492e-20,-2.066319432331435e-07,9.478984271946534e-21,3.5770417924403585e-20,-3.258262333924492e-20,-2.066319432331435e-07,9.478984271946534e-21,3.5770417924403585e-20
