t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
29.36,0.20000970674170038,-3.1041425641720054e-18,9.129753352373115e-20,3.715131462129104e-19,-1.930037672157324e-06,6.948243922743708e-19,-1.9427955473383018e-20,-9.739350715169333e-20,0.2,0.0,0.0,0.0,-3.5181758628052627e-06,1.2114992179960603e-18,-2.5351866555773025e-20,-1.6430944804752875e-19,-2.1679595364459908e-07,7.675888917228218e-20,-3.895631330331081e-21,-2.681171099334319e-20,-2.1679595364459908e-07,7.675888917228218e-20,-3.895631330331081e-21,-2.681171099334319e-20
29.38,0.20000966829384234,-3.0903074230820395e-18,9.091083372427123e-20,3.6957511206074574e-19,-1.9223929016215125e-06,6.917570544982954e-19,-1.933498997299632e-20,-9.690170760823345e-20,0.2,0.0,0.0,0.0,-3.504240566162934e-06,1.206145680109938e-18,-2.5234965415544947e-20,-1.6347696893807973e-19,-2.1593723707024195e-07,7.641969613730363e-20,-3.87766800824503e-21,-2.667586859623352e-20,-2.1593723707024195e-07,7.641969613730363e-20,-3.87766800824503e-21,-2.667586859623352e-20
29.400000000000002,0.2000096299982741,-3.076533360057036e-18,9.052598257331579e-20,3.676468653434784e-19,-1.914778411588023e-06,6.887031512501629e-19,-1.9242557547772135e-20,-9.641233586336698e-20,0.2,0.0,0.0,0.0,-3.4903604664148895e-06,1.2008156094054549e-18,-2.5118714891835397e-20,-1.6264860928148631e-19,-2.1508192182197006e-07,7.608198995526761e-20,-3.85980466152324e-21,-2.6540698403800625e-20,-2.1508192182197006e-07,7.608198995526761e-20,-3.85980466152324e-21,-2.6540698403800625e-20
29.42,0.20000959185439246,-3.062820107575479e-18,9.014296947837928e-20,3.657283577408886e-19,-1.9071940821170035e-06,6.856626240778646e-19,-1.9150654746825888e-20,-9.592538012949138e-20,0.2,0.0,0.0,0.0,-3.476535345018827e-06,1.1955089037093728e-18,-2.500311067185897e-20,-1.618243490410925e-19,-2.1422999443283668e-07,7.574576415256644e-20,-3.842040627452301e-21,-2.640619714650013e-20,-2.1422999443283668e-07,7.574576415256644e-20,-3.842040627452301e-21,-2.640619714650013e-20
29.44,0.20000955386159658,-3.049167399279835e-18,8.976178391558743e-20,3.6381954116737816e-19,-1.8996397937454866e-06,6.8263541478219565e-19,-1.9059278139592612e-20,-9.544082867552348e-20,0.2,0.0,0.0,0.0,-3.4627649841064845e-06,1.1902254612883543e-18,-2.4888148472490823e-20,-1.6100416827594674e-19,-2.1338144147743066e-07,7.541101228346447e-20,-3.824375247876518e-21,-2.6272361570404555e-20,-2.1338144147743066e-07,7.541101228346447e-20,-3.824375247876518e-21,-2.6272361570404555e-20
29.46,0.20000951601928804,-3.0355749699715206e-18,8.938241542927157e-20,3.6192036777084573e-19,-1.8921154274815954e-06,6.796214654157168e-19,-1.8968424315792623e-20,-9.495866982662118e-20,0.2,0.0,0.0,0.0,-3.4490491668804033e-06,1.1849651808520768e-18,-2.477382403847413e-20,-1.6018804714137764e-19,-2.1253624959632546e-07,7.507772793029537e-20,-3.806807868922467e-21,-2.613918843729722e-20,-2.1253624959632546e-07,7.507772793029537e-20,-3.806807868922467e-21,-2.613918843729722e-20
29.48,0.20000947832687074,-3.022042555605886e-18,8.900485363156432e-20,3.600307899315672e-19,-1.8846208648069192e-06,6.7662071828172455e-19,-1.8878089885362392e-20,-9.447889196392739e-20,0.2,0.0,0.0,0.0,-3.4353876771808244e-06,1.1797279615459415e-18,-2.4660133144059797e-20,-1.5937596588742737e-19,-2.1169440546939075e-07,7.474590470300016e-20,-3.789337841250955e-21,-2.6006674524416643e-20,-2.1169440546939075e-07,7.474590470300016e-20,-3.789337841250955e-21,-2.6006674524416643e-20
29.5,0.200009440783751,-3.008569893287224e-18,8.862908820199591e-20,3.5815076026108133e-19,-1.8771559876701304e-06,6.736331159331147e-19,-1.8788271478420365e-20,-9.400148352429259e-20,0.2,0.0,0.0,0.0,-3.4217802998831104e-06,1.174513702954257e-18,-2.4547071591189505e-20,-1.5856790485944775e-19,-2.108558958402821e-07,7.441553623932889e-20,-3.771964519777823e-21,-2.5874816624553778e-20,-2.108558958402821e-07,7.441553623932889e-20,-3.771964519777823e-21,-2.5874816624553778e-20
29.52,0.20000940338933743,-2.9951567212637967e-18,8.825510888709195e-20,3.562802316010809e-19,-1.869720678488809e-06,6.706586011713554e-19,-1.8698965745197484e-20,-9.352643300002005e-20,0.2,0.0,0.0,0.0,-3.4082268206469232e-06,1.1693223050951526e-18,-2.4434635210423123e-20,-1.577638444969836e-19,-2.1002070750098502e-07,7.408661620451844e-20,-3.754687263816454e-21,-2.5743611545869835e-20,-2.1002070750098502e-07,7.408661620451844e-20,-3.754687263816454e-21,-2.5743611545869835e-20
29.54,0.20000936614304102,-2.9818027789228887e-18,8.788290549997218e-20,3.5441915702230894e-19,-1.8623148201461764e-06,6.676971170453972e-19,-1.8610169355988403e-20,-9.305372893859866e-20,0.2,0.0,0.0,0.0,-3.394727025945482e-06,1.1641536684192078e-18,-2.4322819860625984e-20,-1.569637653334299e-19,-2.0918882729361763e-07,7.37591382912056e-20,-3.737505437029721e-21,-2.5613056111840306e-20,-2.0918882729361763e-07,7.37591382912056e-20,-3.737505437029721e-21,-2.5613056111840306e-20
29.560000000000002,0.2000093290442751,-2.9685078067858766e-18,8.751246791995023e-20,3.5256748982346016e-19,-1.8549382959885452e-06,6.647486068506005e-19,-1.8521879001097968e-20,-9.258335994243921e-20,0.2,0.0,0.0,0.0,-3.381280703184411e-06,1.1590076938090759e-18,-2.4211621428340478e-20,-1.5616764799589358e-19,-2.0836024211775465e-07,7.343309621940324e-20,-3.720418407333422e-21,-2.5483147161232427e-20,-2.0836024211775465e-07,7.343309621940324e-20,-3.720418407333422e-21,-2.5483147161232427e-20
