t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
15.700000000000001,-1.1234636757340157e-17,3.1882072714450493e-18,3.433540630210785e-19,0.17474757494877838,2.582373623320431e-18,-6.5725698981731955e-19,2.9854095343756067e-19,-4.877282274346959e-05,0.0,0.0,0.0,0.17453292519943295,4.7746457971428065e-18,-2.273602946016538e-19,1.7232869702957147e-19,-8.357733474466465e-05,2.8730506626692704e-19,-6.678087180923926e-20,2.6480459329755304e-20,-1.3637994475641181e-05,2.8730506626692704e-19,-6.678087180923926e-20,2.6480459329755304e-20,-1.3637994475641181e-05
15.72,-1.1183224909405863e-17,3.175116821808566e-18,3.492094139105022e-19,0.1747466039002906,2.5705923967146946e-18,-6.545224818241512e-19,2.92767544471186e-19,-4.855242438944416e-05,0.0,0.0,0.0,0.17453292519943295,4.752931876338687e-18,-2.268243587815464e-19,1.668505248668869e-19,-8.319940924300846e-05,2.8599320014106124e-19,-6.650795791296371e-20,2.563866967048298e-20,-1.3576325293206287e-05,2.8599320014106124e-19,-6.650795791296371e-20,2.563866967048298e-20,-1.3576325293206287e-05
15.74,-1.1132047619439947e-17,3.1620808186541617e-18,3.549506714106859e-19,0.17474563723995076,2.5588644982958346e-18,-6.518001577202184e-19,2.870628750091833e-19,-4.833301699107639e-05,0.0,0.0,0.0,0.17453292519943295,4.731316677540332e-18,-2.2628966177900417e-19,1.6144732727802704e-19,-8.282318812211228e-05,2.846873107168747e-19,-6.623621267400916e-20,2.4808400792062325e-20,-1.3514934228462753e-05,2.846873107168747e-19,-6.623621267400916e-20,2.4808400792062325e-20,-1.3514934228462753e-05
15.76,-1.1081103825507665e-17,3.149099019713033e-18,3.6057919784324734e-19,0.17474467494802684,2.547189696614087e-18,-6.490899470564458e-19,2.8142632162807205e-19,-4.8114596195851416e-05,0.0,0.0,0.0,0.17453292519943295,4.709799753519249e-18,-2.257561835954325e-19,1.5611833548211692e-19,-8.244866378924107e-05,2.8338737107737314e-19,-6.596562987698454e-20,2.398953456169802e-20,-1.345382004244216e-05,2.8338737107737314e-19,-6.596562987698454e-20,2.398953456169802e-20,-1.345382004244216e-05
15.780000000000001,-1.1030392470288279e-17,3.136171184111671e-18,3.6609634313889215e-19,0.17474371700487348,2.5355677609693e-18,-6.463917800680887e-19,2.758572647822394e-19,-4.7897157668237935e-05,0.0,0.0,0.0,0.17453292519943295,4.688380658972142e-18,-2.252239047942432e-19,1.5086278664339388e-19,-8.207582868354044e-05,2.8209335441628936e-19,-6.569620336316901e-20,2.3181953760135602e-20,-1.3392981501378312e-05,2.8209335441628936e-19,-6.569620336316901e-20,2.3181953760135602e-20,-1.3392981501378312e-05
15.8,-1.097991250105998e-17,3.123297072358373e-18,3.7150344491495375e-19,0.1747427633909317,2.5239984614149197e-18,-6.43705587664907e-19,2.7035508880308046e-19,-4.7680697089667014e-05,0.0,0.0,0.0,0.17453292519943295,4.667058950516044e-18,-2.2469280648807235e-19,1.4567992384715542e-19,-8.170467527587422e-05,2.808052340379257e-19,-6.542792702965717e-20,2.238554207796555e-20,-1.3332417376680732e-05,2.808052340379257e-19,-6.542792702965717e-20,2.238554207796555e-20,-1.3332417376680732e-05
15.82,-1.0929662869684745e-17,3.110476446329943e-18,3.7680182855290744e-19,0.17474181408672854,2.512481568761783e-18,-6.410313014214906e-19,2.6491918189768396e-19,-4.746521015850847e-05,0.0,0.0,0.0,0.17453292519943295,4.645834186683848e-18,-2.241628703264222e-19,1.4056899607571394e-19,-8.13351960688404e-05,2.7952298335701627e-19,-6.516079482853508e-20,2.160018411192842e-20,-1.3272126444937263e-05,2.7952298335701627e-19,-6.516079482853508e-20,2.160018411192842e-20,-1.3272126444937263e-05
15.84,-1.0879642532593109e-17,3.0977090692585885e-18,3.81992807275849e-19,0.17474086907287673,2.5010168545817426e-18,-6.38368853567738e-19,2.595489361470777e-19,-4.725069259004848e-05,0.0,0.0,0.0,0.17453292519943295,4.624705927919175e-18,-2.236340784833767e-19,1.355292581838454e-19,-8.09673835966032e-05,2.782465758985476e-19,-6.489480076605374e-20,2.0825765361142234e-20,-1.3212107487886674e-05,2.782465758985476e-19,-6.489480076605374e-20,2.0825765361142234e-20,-1.3212107487886674e-05
15.860000000000001,-1.0829850450768887e-17,3.084994705718999e-18,3.8707768222592974e-19,0.1747399283300744,2.4896040912111033e-18,-6.357181769794806e-19,2.54243747504037e-19,-4.703714011646472e-05,0.0,0.0,0.0,0.17453292519943295,4.60367373657194e-18,-2.2310641364579015e-19,1.3055997087436886e-19,-8.060123042499302e-05,2.7697598529761737e-19,-6.462993890183983e-20,2.006217222334997e-20,-1.3152359292434953e-05,2.7697598529761737e-19,-6.462993890183983e-20,2.006217222334997e-20,-1.3152359292434953e-05
15.88,-1.0780285589733809e-17,3.0723331216156138e-18,3.920577425417392e-19,0.17473899183910466,2.4782430517539025e-18,-6.330792051692572e-19,2.490030157904727e-19,-4.682454848680442e-05,0.0,0.0,0.0,0.17453292519943295,4.582737176892359e-18,-2.2257985900122934e-19,1.2566040067276626e-19,-8.023672915106247e-05,2.757111852992002e-19,-6.436620334807364e-20,1.9309291991019574e-20,-1.3092880650582876e-05,2.757111852992002e-19,-6.436620334807364e-20,1.9309291991019574e-20,-1.3092880650582876e-05
