t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
18.32,-2.6946619940305746e-20,-5.7812917374644425e-21,0.2003541769636496,-7.357386752238075e-21,1.7952021041795173e-21,3.7500290370305864e-22,-2.7422944394093112e-05,-5.925904392885335e-22,0.0,0.0,0.2,0.0,9.04877366463336e-22,2.0097670156771578e-22,-2.7433739347738278e-05,-1.0951911438806787e-21,7.394014631750417e-22,-1.633505484862635e-22,-4.012430560887794e-05,5.385049901936196e-22,7.394014631750417e-22,-1.633505484862635e-22,-4.012430560887794e-05,5.385049901936196e-22
18.34,-2.6910748650252108e-20,-5.773797925717075e-21,0.2003536293380826,-7.369193825580769e-21,1.793564502681829e-21,3.74690587368394e-22,-2.7381278350465264e-05,-5.90353667134652e-22,0.0,0.0,0.2,0.0,9.036781748581903e-22,2.007228150605852e-22,-2.7391447217153652e-05,-1.0908682563728521e-21,7.3842156903652715e-22,-1.6314419372041485e-22,-4.006244957274234e-05,5.363794283608589e-22,7.3842156903652715e-22,-1.6314419372041485e-22,-4.006244957274234e-05,5.363794283608589e-22
18.36,-2.6874910231853024e-20,-5.766310389696488e-21,0.2003530825448142,-7.380956256731116e-21,1.7919209199541967e-21,3.743768010293277e-22,-2.7339663419944587e-05,-5.881215575173493e-22,0.0,0.0,0.2,0.0,9.0248030971833e-22,2.0046915599871682e-22,-2.734921727528068e-05,-1.0865546997331259e-21,7.374427587911557e-22,-1.6293802381832423e-22,-4.000068449317815e-05,5.342584545117237e-22,7.374427587911557e-22,-1.6293802381832423e-22,-4.000068449317815e-05,5.342584545117237e-22
18.38,-2.683910480288744e-20,-5.758829158372177e-21,0.2003525365828193,-7.392674138873403e-21,1.790271448279226e-21,3.740615662155378e-22,-2.729809974598021e-05,-5.858941071143598e-22,0.0,0.0,0.2,0.0,9.012837718359965e-22,2.002157250383622e-22,-2.7307049480772874e-05,-1.082250462914414e-21,7.3646503308629065e-22,-1.627320393133821e-22,-3.993901030971242e-05,5.321420632143668e-22,7.3646503308629065e-22,-1.627320393133821e-22,-3.993901030971242e-05,5.321420632143668e-22
18.400000000000002,-2.6803332479308622e-20,-5.751354260287755e-21,0.20035199145106994,-7.404347565123759e-21,1.7886161789408805e-21,3.737449042211271e-22,-2.7256587468106264e-05,-5.836713125178165e-22,0.0,0.0,0.2,0.0,9.0008856197516e-22,1.9996252282474704e-22,-2.726494379152371e-05,-1.0779555347784257e-21,7.354883925461943e-22,-1.6252624073001728e-22,-3.987742696076056e-05,5.300302489920956e-22,7.354883925461943e-22,-1.6252624073001728e-22,-3.987742696076056e-05,5.300302489920956e-22
18.42,-2.6767593375263923e-20,-5.743885723565613e-21,0.2003514471485355,-7.415976628528478e-21,1.7869552022348924e-21,3.734268361071237e-22,-2.7215126722010966e-05,-5.814531702359145e-22,0.0,0.0,0.2,0.0,8.988946808720593e-22,1.9970954999220943e-22,-2.7222900164523946e-05,-1.0736699040954005e-21,7.345128377724685e-22,-1.6232062858380928e-22,-3.981593438341772e-05,5.27923006323242e-22,7.345128377724685e-22,-1.6232062858380928e-22,-3.981593438341772e-05,5.27923006323242e-22
18.44,-2.6731887603114342e-20,-5.7364235759115336e-21,0.2003509036741827,-7.427561422062367e-21,1.7852886074790733e-21,3.731073827039559e-22,-2.717371763960135e-05,-5.792396766945007e-22,0.0,0.0,0.2,0.0,8.977021292354983e-22,1.994568071643324e-22,-2.7180918555952127e-05,-1.0693935595471295e-21,7.335383693442976e-22,-1.621152033815961e-22,-3.9754532513591076e-05,5.258203296426477e-22,7.335383693442976e-22,-1.621152033815961e-22,-3.9754532513591076e-05,5.258203296426477e-22
18.46,-2.6696215273453873e-20,-5.728967844619255e-21,0.20035036102697573,-7.43910203862714e-21,1.783616483023516e-21,3.727865646139006e-22,-2.713236034906843e-05,-5.770308282386593e-22,0.0,0.0,0.2,0.0,8.96510907747038e-22,1.9920429495406571e-22,-2.7138998921265133e-05,-1.0651264897298927e-21,7.325649878186046e-22,-1.6190996562157325e-22,-3.9693221286132316e-05,5.237222133431089e-22,7.325649878186046e-22,-1.6190996562157325e-22,-3.9693221286132316e-05,5.237222133431089e-22
18.48,-2.666057649512866e-20,-5.721518556574985e-21,0.20034981920587625,-7.450598571049827e-21,1.7819389162606874e-21,3.724644022135064e-22,-2.709105497495274e-05,-5.748266211342921e-22,0.0,0.0,0.2,0.0,8.953210170615661e-22,1.9895201396385682e-22,-2.709714121506187e-05,-1.060868683154266e-21,7.315926937305174e-22,-1.6170491579340004e-22,-3.963200063463827e-05,5.2162865177528095e-22,7.315926937305174e-22,-1.6170491579340004e-22,-3.963200063463827e-05,5.2162865177528095e-22
18.5,-2.6624971375255952e-20,-5.714075738261865e-21,0.20034927820984347,-7.46205111208122e-21,1.780255993635423e-21,3.721409156559908e-22,-2.7049801638205796e-05,-5.7262705156962985e-22,0.0,0.0,0.2,0.0,8.941324578076384e-22,1.9869996478577871e-22,-2.7055345391125847e-05,-1.0566201282473486e-21,7.306214875936469e-22,-1.615000543783036e-22,-3.957087049151318e-05,5.195396392487737e-22,7.306214875936469e-22,-1.615000543783036e-22,-3.957087049151318e-05,5.195396392487737e-22
18.52,-2.6589400019242855e-20,-5.706639415764393e-21,0.20034873803783435,-7.473459754394353e-21,1.778567800654818e-21,3.7181612487361263e-22,-2.7008600456251018e-05,-5.704321156567268e-22,0.0,0.0,0.2,0.0,8.92945230587445e-22,1.9844814800165482e-22,-2.7013611402635965e-05,-1.0523808133573846e-21,7.296513699000602e-22,-1.612953818491805e-22,-3.950983078827697e-05,5.174551700344239e-22,7.296513699000602e-22,-1.612953818491805e-22,-3.950983078827697e-05,5.174551700344239e-22
18.54,-2.6553862530804895e-20,-5.699209614772792e-21,0.2003481986888035,-7.484824590583013e-21,1.776874421898007e-21,3.7149004958001957e-22,-2.69674515430476e-05,-5.682418094329868e-22,0.0,0.0,0.2,0.0,8.917593359775822e-22,1.9819656418317188e-22,-2.697193920192303e-05,-1.0481507267518616e-21,7.286823411209107e-22,-1.6109089867068825e-22,-3.9448881455209176e-05,5.153752383633607e-22,7.286823411209107e-22,-1.6109089867068825e-22,-3.9448881455209176e-05,5.153752383633607e-22
