t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
6.58,2.0579801712036896e-20,5.429965665743525e-21,0.19898840509050778,-1.0905439075341426e-20,-3.538429891673082e-20,-8.01124733119241e-21,0.0014850996835809455,4.380869154522009e-21,0.0,0.0,0.2,0.0,-6.763813092071158e-21,-7.15295313347607e-22,0.0005361790077878935,5.4713453242159124e-21,-5.5269072719397674e-21,5.81380233895503e-22,0.0007842099138162164,-2.690258021739264e-21,-5.5269072719397674e-21,5.81380233895503e-22,0.0007842099138162164,-2.690258021739264e-21
6.6000000000000005,1.987823852553271e-20,5.271148969093401e-21,0.1990175967658557,-1.081862667442105e-20,-3.5078159325209286e-20,-7.940834832506204e-21,0.0014595837673965792,4.340620046018822e-21,0.0,0.0,0.2,0.0,-6.635476875596389e-21,-6.898014038302112e-22,0.0005269482382299386,5.398299729900014e-21,-5.422040038260719e-21,5.606592046904207e-22,0.0007707090849990525,-2.654341536045826e-21,-5.422040038260719e-21,5.606592046904207e-22,0.0007707090849990525,-2.654341536045826e-21
6.62,1.9182770291415034e-20,5.1137350595501994e-21,0.1990462868841332,-1.0732621882138094e-20,-3.477341170588369e-20,-7.87069547716009e-21,0.0014345059138742894,4.300239614147783e-21,0.0,0.0,0.2,0.0,-6.508959103515582e-21,-6.64791188138812e-22,0.0005178767342649332,5.3261086502132396e-21,-5.318658708081337e-21,5.403313138499329e-22,0.0007574411964035434,-2.618845214809112e-21,-5.318658708081337e-21,5.403313138499329e-22,0.0007574411964035434,-2.618845214809112e-21
6.640000000000001,1.8493368852251275e-20,4.9577183569112725e-21,0.19907448405646275,-1.0647426852677568e-20,-3.447007195818802e-20,-7.800835131946338e-21,0.001409858616477454,4.259751473026297e-21,0.0,0.0,0.2,0.0,-6.3842340216466246e-21,-6.402565222597399e-22,0.0005089617330627291,5.254768728236778e-21,-5.216742236914666e-21,5.20389942054042e-22,0.0007444022071426702,-2.5837674074336596e-21,-5.216742236914666e-21,5.20389942054042e-22,0.0007444022071426702,-2.5837674074336596e-21
6.66,1.7810005745736967e-20,4.803093167789839e-21,0.19910219674639662,-1.0563043286734777e-20,-3.416815532571546e-20,-7.731259456071684e-21,0.0013856344966931844,4.219178297139535e-21,0.0,0.0,0.2,0.0,-6.261276234453862e-21,-6.161893819218024e-22,0.0005002005203531687,5.184276335819156e-21,-5.116269873334139e-21,5.008285673074604e-22,0.000731588147352758,-2.5491063299590297e-21,-5.116269873334139e-21,5.008285673074604e-22,0.000731588147352758,-2.5491063299590297e-21
6.68,1.713265221752487e-20,4.6498536896804224e-21,0.19912943327243413,-1.0479472449738304e-20,-3.386767641060487e-20,-7.661973905470833e-21,0.001361826301874803,4.178541849823676e-21,0.0,0.0,0.2,0.0,-6.140060700731402e-21,-5.925818613771256e-22,0.0004915904295460663,5.114627587871909e-21,-5.0172211554462856e-21,4.816407639486995e-22,0.0007189951169063691,-2.514860072088982e-21,-5.0172211554462856e-21,4.816407639486995e-22,0.0007189951169063691,-2.514860072088982e-21
6.7,1.646127923377136e-20,4.497994014939359e-21,0.1991562018104965,-1.0396715189517917e-20,-3.3568649187675535e-20,-7.592983737053161e-21,0.0013384269031195745,4.137863011019357e-21,0.0,0.0,0.2,0.0,-6.020562729305921e-21,-5.694261721732684e-22,0.00048312884086800303,5.0458183561321586e-21,-4.919575907379369e-21,4.62820201652064e-22,0.0007066192841497886,-2.481026603958526e-21,-4.919575907379369e-21,4.62820201652064e-22,0.0007066192841497886,-2.481026603958526e-21
6.72,1.5795857493405086e-20,4.347508134681695e-21,0.19918251039636012,-1.031477195343171e-20,-3.3271087018313715e-20,-7.524294012883177e-21,0.0013154292931811524,4.097161804310343e-21,0.0,0.0,0.2,0.0,-5.902757974760301e-21,-5.467146419176776e-22,0.00047481318051581164,4.977844282413299e-21,-4.823314235789049e-21,4.4436064442342115e-22,0.0006944568846649198,-2.447603782649278e-21,-4.823314235789049e-21,4.4436064442342115e-22,0.0006944568846649198,-2.447603782649278e-21
6.74,1.5136357440122802e-20,4.19838994259579e-21,0.19920836692804844,-1.0233642804966463e-20,-3.2975002664114233e-20,-7.45590960429528e-21,0.001292826584416222,4.05645742326239e-21,0.0,0.0,0.2,0.0,-5.786622433179184e-21,-5.244397130356222e-22,0.00046664091982651307,4.910700791362813e-21,-4.7284165263819446e-21,4.262559495906706e-22,0.0006825042200552419,-2.4145893584624743e-21,-4.7284165263819446e-21,4.262559495906706e-22,0.0006825042200552419,-2.4145893584624743e-21
6.76,1.4482749274117192e-20,4.050633238676923e-21,0.19923377916818374,-1.015332743982492e-20,-3.268040830028056e-20,-7.387835195943371e-21,0.0012706120067648252,4.0157682570770914e-21,0.0,0.0,0.2,0.0,-5.672132437917964e-21,-5.025939415226001e-22,0.00045860957446321356,4.8443831027410635e-21,-4.634863440458362e-21,4.085000667897213e-22,0.000670757656755112,-2.3819809809564474e-21,-4.634863440458362e-21,4.085000667897213e-22,0.000670757656755112,-2.3819809809564474e-21
6.78,1.3835002963541458e-20,3.904231732881204e-21,0.19925875474629903,-1.0073825201513414e-20,-3.238731552878668e-20,-7.320075289785922e-21,0.0012487789057638594,3.975111915575299e-21,0.0,0.0,0.2,0.0,-5.5592646553970035e-21,-4.811699956922789e-22,0.00045071670361652993,4.778886243236344e-21,-4.542635911475624e-21,3.9108703694683757e-22,0.0006592136248617768,-2.34977620475608e-21,-4.542635911475624e-21,3.9108703694683757e-22,0.0006592136248617768,-2.34977620475608e-21
