t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
9.82,0.19989616769419688,6.345801053340498e-20,-3.485079959038251e-20,7.905101323505838e-20,0.0005315762289497561,1.3453782423924936e-20,-4.877994976638309e-21,1.3950902093937642e-21,0.2,0.0,0.0,0.0,-1.1396430606036394e-05,-2.801858447331321e-21,-1.5640264953405069e-21,-1.0950600266892197e-21,-9.312353007580244e-06,2.276572101017085e-21,-2.2875290999875507e-21,5.384405199298712e-22,-9.312353007580244e-06,2.276572101017085e-21,-2.2875290999875507e-21,5.384405199298712e-22
9.84,0.19990666655327047,6.372326994241327e-20,-3.4946612322489896e-20,7.907741023051856e-20,0.0005249429536799332,1.3262970450414375e-20,-4.790636605369316e-21,1.3198497730091349e-21,0.2,0.0,0.0,0.0,-1.1254293066452871e-05,-2.8228308521189544e-21,-1.4995479130586225e-21,-1.1749835993269467e-21,-9.19620831368551e-06,2.293627016816242e-21,-2.1932233873061037e-21,5.777389044538857e-22,-9.19620831368551e-06,2.293627016816242e-21,-2.1932233873061037e-21,5.777389044538857e-22
9.86,0.1999170344022793,6.398474536035438e-20,-3.504069604778082e-20,7.910232242267755e-20,0.0005183924504404922,1.3073770897055146e-20,-4.704186264546044e-21,1.2456096079494611e-21,0.2,0.0,0.0,0.0,-1.1113926343678292e-05,-2.8434025027106236e-21,-1.4358337391544385e-21,-1.2538046145308494e-21,-9.081510605413441e-06,2.3103561118725466e-21,-2.100035690472517e-21,6.164951619862725e-22,-9.081510605413441e-06,2.3103561118725466e-21,-2.100035690472517e-21,6.164951619862725e-22
9.88,0.19992727287600784,6.424246884332412e-20,-3.513306877200826e-20,7.912576956861492e-20,0.0005119236864275493,1.2886174148487098e-20,-4.6186362113718995e-21,1.1723572968685917e-21,0.2,0.0,0.0,0.0,-1.097530845103824e-05,-2.863579038748677e-21,-1.3728761344299988e-21,-1.3315368993641151e-21,-8.968241916816567e-06,2.3267639706162937e-21,-2.007954543956316e-21,6.547160912877479e-22,-8.968241916816567e-06,2.3267639706162937e-21,-2.007954543956316e-21,6.547160912877479e-22
9.9,0.19993738358884228,6.449647225508891e-20,-3.5223748346914136e-20,7.914777118008473e-20,0.0005055356417222668,1.2700170588239528e-20,-4.5339787452940345e-21,1.1000805734903665e-21,0.2,0.0,0.0,0.0,-1.0838417671976859e-05,-2.8833660253038413e-21,-1.310667330609514e-21,-1.4081941097170814e-21,-8.856384502669102e-06,2.342855116875162e-21,-1.9169685859570596e-21,6.924084069534157e-22,-8.856384502669102e-06,2.342855116875162e-21,-1.9169685859570596e-21,6.924084069534157e-22
9.92,0.19994736813502487,6.474678726709071e-20,-3.531275247107973e-20,7.916834652650144e-20,0.0004992273091301771,1.2515750600090311e-20,-4.450206208279612e-21,1.0287673208356407e-21,0.2,0.0,0.0,0.0,-1.0703232556817481e-05,-2.9027689538120167e-21,-1.2491996298564456e-21,-1.4837897324021662e-21,-8.745920835819966e-06,2.358634014635111e-21,-1.8270665576980317e-21,7.295787404428429e-22,-8.745920835819966e-06,2.358634014635111e-21,-1.8270665576980317e-21,7.295787404428429e-22
9.94,0.19995722808890531,6.499344535847858e-20,-3.540009869078127e-20,7.918751463789081e-20,0.000492997694022508,1.2332904569393671e-20,-4.367310985076842e-21,9.584055694682228e-22,0.2,0.0,0.0,0.0,-1.0569731919608458e-05,-2.9217932430007706e-21,-1.1884654042908197e-21,-1.5583370872217873e-21,-8.636833604615413e-06,2.374105068792922e-21,-1.73823730272027e-21,7.662336410968552e-22,-8.636833604615413e-06,2.374105068792922e-21,-1.73823730272027e-21,7.662336410968552e-22
9.96,0.1999669650051889,6.523647781616612e-20,-3.548580440085049e-20,7.9205294307806e-20,0.000486845814179484,1.2151622884377146e-20,-4.285285503461142e-21,8.889834957596302e-22,0.2,0.0,0.0,0.0,-1.0437894834924768e-05,-2.9404442398050205e-21,-1.1284570955064064e-21,-1.6318493290142295e-21,-8.529105710285544e-06,2.389272625899968e-21,-1.6504697661763965e-21,8.023795771434884e-22,-8.529105710285544e-06,2.389272625899968e-21,-1.6504697661763965e-21,8.023795771434884e-22
9.98,0.19997658041918162,6.547591573491428e-20,-3.556988684553983e-20,7.922170409620945e-20,0.00048077069963557955,1.1971895937408252e-20,-4.204122234466784e-21,8.204894201724557e-22,0.2,0.0,0.0,0.0,-1.0307700634836154e-05,-2.95872722027186e-21,-1.0691672140883443e-21,-1.704339449671826e-21,-8.422720264466874e-06,2.4041409748971745e-21,-1.5637529941251017e-21,8.380229366903278e-22,-8.422720264466874e-06,2.4041409748971745e-21,-1.5637529941251017e-21,8.380229366903278e-22
10.0,0.19998607584703215,6.57117900174389e-20,-3.5652363119391916e-20,7.923676233232069e-20,0.00047477139252669845,1.1793714126231382e-20,-4.123813692604366e-21,7.529118055622716e-22,0.2,0.0,0.0,0.0,-1.0179128905757947e-05,-2.9766473904553825e-21,-1.010588339130818e-21,-1.7758202801381493e-21,-8.317660586629057e-06,2.4187143478418672e-21,-1.4780761328257028e-21,8.731700287065256e-22,-8.317660586629057e-06,2.4187143478418672e-21,-1.4780761328257028e-21,8.731700287065256e-22
