t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
12.72,0.20060509101880303,7.334580509171338e-20,-3.662618952783664e-20,7.065998494632677e-20,4.0019268557517524e-05,-1.5280326963666276e-21,1.4637872999770721e-21,-2.9843094694118466e-21,0.2,0.0,0.0,0.0,-3.106524830074457e-05,-2.8647884684090287e-21,2.0145308911856963e-21,-6.4862311621474676e-21,-2.53843127243223e-05,2.3266687037822156e-21,2.9464322056819463e-21,3.1892769293122775e-21,-2.53843127243223e-05,2.3266687037822156e-21,2.9464322056819463e-21,3.1892769293122775e-21
12.74,0.20060587017921908,7.331445092241787e-20,-3.6596738196051514e-20,7.060013572477317e-20,3.895802080228144e-05,-1.567708464774929e-21,1.4725665892561064e-21,-2.9924610776796935e-21,0.2,0.0,0.0,0.0,-3.103177274315756e-05,-2.864615988958383e-21,2.0165969757142893e-21,-6.495674424400261e-21,-2.53569588781794e-05,2.326531947396932e-21,2.949454039708589e-21,3.193920177091672e-21,-2.53569588781794e-05,2.326531947396932e-21,2.949454039708589e-21,3.193920177091672e-21
12.76,0.200606628361402,7.328231249004778e-20,-3.656711423192771e-20,7.05401263352562e-20,3.790910914567664e-05,-1.6069216185050829e-21,1.4811982061902644e-21,-3.0004694758484754e-21,0.2,0.0,0.0,0.0,-3.099815392071512e-05,-2.8643980005390185e-21,2.018606517622479e-21,-6.504919013501874e-21,-2.5329487966180217e-05,2.3263582110649584e-21,2.9523931750789444e-21,3.198465737372472e-21,-2.5329487966180217e-05,2.3263582110649584e-21,2.9523931750789444e-21,3.198465737372472e-21
12.780000000000001,0.2006073658094188,7.324939895800432e-20,-3.653732054794955e-20,7.047995960476695e-20,3.687240083888643e-05,-1.6456766021724851e-21,1.4896841989079753e-21,-3.0083365244625655e-21,0.2,0.0,0.0,0.0,-3.096439303168016e-05,-2.864135079694122e-21,2.020560295856758e-21,-6.513967387675343e-21,-2.5301900967460045e-05,2.3261479632172057e-21,2.9552507510721585e-21,3.2029148188618336e-21,-2.5301900967460045e-05,2.3261479632172057e-21,2.9552507510721585e-21,3.2029148188618336e-21
12.8,0.20060808276471015,7.32157194015951e-20,-3.650736001620903e-20,7.041963832361822e-20,3.5847764568473004e-05,-1.683977820460787e-21,1.4980265870260065e-21,-3.0160640574370527e-21,0.2,0.0,0.0,0.0,-3.0930491312550584e-05,-2.8638277953985043e-21,2.022459077798446e-21,-6.52282197298857e-21,-2.5274198892397064e-05,2.3259016661323014e-21,2.9580278900522728e-21,3.2072686144562468e-21,-2.5274198892397064e-05,2.3259016661323014e-21,2.9580278900522728e-21,3.2072686144562468e-21
12.82,0.20060877946611894,7.318128280882644e-20,-3.6477235468968394e-20,7.035916524596822e-20,3.4835070439833214e-05,-1.721829638432991e-21,1.5062273620319385e-21,-3.023653882499448e-21,0.2,0.0,0.0,0.0,-3.089645003554508e-05,-2.8634767091959688e-21,2.024303619467718e-21,-6.531485163836723e-21,-2.5246382780557964e-05,2.3256197760483815e-21,2.9607256977666374e-21,3.2115283014787324e-21,-2.5246382780557964e-05,2.3256197760483815e-21,2.9607256977666374e-21,3.2115283014787324e-21
12.84,0.20060945614991815,7.314609808118961e-20,-3.6446949699215147e-20,7.029854309033576e-20,3.3834189960886514e-05,-1.759236381841691e-21,1.514288487662486e-21,-3.0311077816230434e-21,0.2,0.0,0.0,0.0,-3.0862270506011305e-05,-2.86308237533362e-21,2.026094665723624e-21,-6.539959323418561e-21,-2.5218453698580053e-05,2.325302743272397e-21,2.9633452636384526e-21,3.2156950419130526e-21,-2.5218453698580053e-05,2.325302743272397e-21,2.9633452636384526e-21,3.2156950419130526e-21
12.86,0.20061011304983867,7.311017403444084e-20,-3.6416505461209594e-20,7.023777454010671e-20,3.284499602599407e-05,-1.7962023374384056e-21,1.5222119002776753e-21,-3.0384275114521433e-21,0.2,0.0,0.0,0.0,-3.0827954060048894e-05,-2.862645340892382e-21,2.027832950459502e-21,-6.54824678420314e-21,-2.5190412738228988e-05,2.324951012286328e-21,2.9658876610525828e-21,3.2197699826331866e-21,-2.5190412738228988e-05,2.324951012286328e-21,2.9658876610525828e-21,3.2197699826331866e-21
12.88,0.20061075039709667,7.30735193993752e-20,-3.638590547102498e-20,7.017686224403232e-20,3.186736290010218e-05,-1.832731753281939e-21,1.5299995092308755e-21,-3.045614803719307e-21,0.2,0.0,0.0,0.0,-3.079350206229685e-05,-2.862166145913856e-21,2.029519196793987e-21,-6.556349848386882e-21,-2.516226101459076e-05,2.3245650218504136e-21,2.968353947634922e-21,3.2237542556280746e-21,-2.516226101459076e-05,2.3245650218504136e-21,2.968353947634922e-21,3.2237542556280746e-21
12.9,0.20061136842042074,7.303614282259429e-20,-3.6355152407080286e-20,7.011580881671923e-20,3.090116620310428e-05,-1.868828839045708e-21,1.5376531972346838e-21,-3.052671365654738e-21,0.2,0.0,0.0,0.0,-3.075891590375908e-05,-2.86164532352428e-21,2.0311541172580923e-21,-6.564270788343521e-21,-2.5133999664294883e-05,2.324145205104021e-21,2.970745165526018e-21,3.2276489782228538e-21,-2.5133999664294883e-05,2.324145205104021e-21,2.970745165526018e-21,3.2276489782228538e-21
12.92,0.20061196734607864,7.29980528672678e-20,-3.6324248910665834e-20,7.005461683911147e-20,2.9946282894418334e-05,-1.90449776632399e-21,1.5451748207226756e-21,-3.0595988803879896e-21,0.2,0.0,0.0,0.0,-3.0724196999700345e-05,-2.8610834000551623e-21,2.032738413978164e-21,-6.572011847067548e-21,-2.510562984379512e-05,2.3236919896638088e-21,2.9730623416486576e-21,3.2314552532969015e-21,-2.510562984379512e-05,2.3236919896638088e-21,2.9730623416486576e-21,3.2314552532969015e-21
12.94,0.2006125473979038,7.295925801388906e-20,-3.6293197586461694e-20,6.999328885896462e-20,2.900259125777585e-05,-1.9397426689370353e-21,1.5525662102070265e-21,-3.0663990073421808e-21,0.2,0.0,0.0,0.0,-3.068934678771174e-05,-2.8604808951606674e-21,2.0342727788548702e-21,-6.579575238607209e-21,-2.5077152727788726e-05,2.3232057977192426e-21,2.9753064879696573e-21,3.235174169496738e-21,-2.5077152727788726e-05,2.3232057977192426e-21,2.9753064879696573e-21,3.235174169496738e-21
12.96,0.20061310879732153,7.291976666102436e-20,-3.6262001003049055e-20,6.993182739131221e-20,2.8069970886216825e-05,-1.9745676432349926e-21,1.5598291706320155e-21,-3.0730733826208076e-21,0.2,0.0,0.0,0.0,-3.065436672589975e-05,-2.859838321932041e-21,2.0357578937383626e-21,-6.586963148490808e-21,-2.5048569507736683e-05,2.3226870461256905e-21,2.9774786017560503e-21,3.238806801445643e-21,-2.5048569507736683e-05,2.3226870461256905e-21,2.9774786017560503e-21,3.238806801445643e-21
12.98,0.20061365176337487,7.287958712605634e-20,-3.623066169341459e-20,6.987023491892446e-20,2.7148302667285838e-05,-2.0089767484006073e-21,1.5669654817234213e-21,-3.0796236193873264e-21,0.2,0.0,0.0,0.0,-3.061925829099913e-05,-2.859156187009434e-21,2.0371944305998304e-21,-6.59417773414738e-21,-2.501988139032165e-05,2.322136146495415e-21,2.979579665826002e-21,3.2423542099504974e-21,-2.501988139032165e-05,2.322136146495415e-21,2.979579665826002e-21,3.2423542099504974e-21
13.0,0.20061417651275024,7.283872764592134e-20,-3.619918215544791e-20,6.98085138927597e-20,2.6237468768428652e-05,-2.0429740067506457e-21,1.5739768983338284e-21,-3.086051308237686e-21,0.2,0.0,0.0,0.0,-3.058402297678042e-05,-2.8584349906903796e-21,2.038583051699141e-21,-6.60122112531701e-21,-2.4991089596146744e-05,2.321553505285824e-21,2.981610648793997e-21,3.2458174422035374e-21,-2.4991089596146744e-05,2.321553505285824e-21,2.981610648793997e-21,3.2458174422035374e-21
13.02,0.2006146832598027,7.279719637784061e-20,-3.6167564852432233e-20,6.974666673240838e-20,2.533735262258118e-05,-2.076563404036001e-21,1.5808651507838524e-21,-3.09235801756589e-21,0.2,0.0,0.0,0.0,-3.054866229236356e-05,-2.8576752270361304e-21,2.0399244097492864e-21,-6.608095424456721e-21,-2.4962195358357498e-05,2.3209395238859882e-21,2.983572505311359e-21,3.249197531981931e-21,-2.4962195358357498e-05,2.3209395238859882e-21,2.983572505311359e-21,3.249197531981931e-21
