t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
0.84,-3.779202837948675e-20,-4.9814635752771745e-20,2.20272898037714e-19,0.025738590986529374,-1.6555098881285709e-19,-1.9656679343610628e-19,8.804802874104227e-19,0.11441917908862327,0.0,0.0,0.0,0.17453292519943295,-2.409173795574976e-19,-7.083690918963083e-20,1.0887138234006793e-18,0.28485092599928047,-1.9828501308717653e-19,5.251658998313473e-20,1.5923416642923032e-18,-0.14006107150241734,-1.9828501308717653e-19,5.251658998313473e-20,1.5923416642923032e-18,-0.14006107150241734
0.86,-4.1150804692059126e-20,-5.372958443218476e-20,2.378574455612604e-19,0.02806840845373588,-1.6793881562861894e-19,-1.9574743397065085e-19,8.79227376177321e-19,0.11649087336032521,0.0,0.0,0.0,0.17453292519943295,-2.1283238758636956e-19,-3.095769423731935e-20,9.13074853134455e-19,0.27347711236133854,-1.7455293342535458e-19,2.029716969375978e-20,1.335453909019101e-18,-0.1344685724799533,-1.7455293342535458e-19,2.029716969375978e-20,1.335453909019101e-18,-0.1344685724799533
0.88,-4.454674258743156e-20,-5.76138528096403e-20,2.5535429820923467e-19,0.030433136210407774,-1.697968947686218e-19,-1.9421341887277724e-19,8.748426323987125e-19,0.1182363878335948,0.0,0.0,0.0,0.17453292519943295,-1.8633522496226578e-19,5.3104460241633254e-21,7.5001793711270845e-19,0.26257470816948425,-1.520573577395302e-19,-8.922637359256906e-21,1.0969685371502788e-18,-0.12910786526895615,-1.520573577395302e-19,-8.922637359256906e-21,1.0969685371502788e-18,-0.12910786526895615
0.9,-4.796994322451202e-20,-6.145459630590412e-20,2.727068321052126e-19,0.032826697259649845,-1.711600318540233e-19,-1.920371748131909e-19,8.67626694798896e-19,0.11967805246210372,0.0,0.0,0.0,0.17453292519943295,-1.613515591282629e-19,3.821135975332162e-20,5.98783480964136e-19,0.2521235501578579,-1.3074920987200345e-19,-3.5345078345141215e-20,8.757745737543247e-19,-0.12396903560072066,-1.3074920987200345e-19,-3.5345078345141215e-20,8.757745737543247e-19,-0.12396903560072066
0.92,-5.1411167849827465e-20,-6.524031684094746e-20,2.898640203108723e-19,0.035243435957845896,-1.7206123126577226e-19,-1.8928602675216692e-19,8.578594102829857e-19,0.12083693490980243,0.0,0.0,0.0,0.17453292519943295,-1.3781032123134614e-19,6.797449178337144e-20,4.586544883531185e-19,0.24210435927331972,-1.1058171673458546e-19,-5.916103587096215e-20,6.708233473495216e-19,-0.11904260397353607,-1.1058171673458546e-19,-5.916103587096215e-20,6.708233473495216e-19,-0.11904260397353607
0.9400000000000001,-5.486180348788923e-20,-6.89607669904212e-20,3.0678004217190273e-19,0.03767809408352117,-1.7253178190308815e-19,-1.8602250747368688e-19,8.458010930515219e-19,0.1217329062837636,0.0,0.0,0.0,0.17453292519943295,-1.1564356485238842e-19,9.4815675121327e-20,3.2895426968386448e-19,0.23249870116443477,-9.151015294091676e-20,-8.055056761865036e-20,4.811251386781437e-19,-0.11431950622513798,-9.151015294091676e-20,-8.055056761865036e-20,4.811251386781437e-19,-0.11431950622513798
0.96,-5.831383027425012e-20,-7.260685998032602e-20,3.234139164250215e-19,0.040125788155276704,-1.7260133931804423e-19,-1.8230464949524087e-19,8.316937126559397e-19,0.12238470358777645,0.0,0.0,0.0,0.17453292519943295,-9.478633014782707e-20,1.189378802074093e-19,2.0904427073837105e-19,0.22328894846025685,-7.349162539410868e-20,-9.968342613612489e-20,3.057460048946237e-19,-0.10979107498520337,-7.349162539410868e-20,-9.968342613612489e-20,3.057460048946237e-19,-0.10979107498520337
0.98,-6.175979035999502e-20,-7.617058518764503e-20,3.3972915672174925e-19,0.042581987936402645,-1.7229800428724563e-19,-1.7818626036595026e-19,8.157620148363869e-19,0.12280998905629692,0.0,0.0,0.0,0.17453292519943295,-7.517651338496227e-20,1.405319242420626e-19,9.832201509076942e-20,0.2144582447570518,-5.648489218136947e-20,-1.1671955904078607e-19,1.4380477016189142e-19,-0.10544902196763871,-5.648489218136947e-20,-1.1671955904078607e-19,1.4380477016189142e-19,-0.10544902196763871
1.0,-6.519275831796505e-20,-7.964492883367599e-20,3.5569344829738076e-19,0.04504249606681676,-1.7164839789850168e-19,-1.7371718230154821e-19,7.982145787815755e-19,0.12302540652070579,0.0,0.0,0.0,0.17453292519943295,-5.675474181332883e-20,1.59777142748639e-19,-3.780845547829403e-21,0.20599047023486863,-4.045021082867075e-20,-1.3180958995767189e-19,-5.5298258942443225e-21,-0.10128542106426358,-4.045021082867075e-20,-1.3180958995767189e-19,-5.5298258942443225e-21,-0.10128542106426358
1.02,-6.860631298283651e-20,-8.302379957458458e-20,3.7127834458255966e-19,0.04750342876586752,-1.7067773324357333e-19,-1.689435370454299e-19,7.792448142589445e-19,0.12304663495253797,0.0,0.0,0.0,0.17453292519943295,-3.9464253782846294e-20,1.7684202541048068e-19,-9.780037860381165e-20,0.197870208829464,-2.534921159119527e-20,-1.4509528056369476e-19,-1.4304182998978687e-19,-0.09729269220326078,-2.534921159119527e-20,-1.4509528056369476e-19,-1.4304182998978687e-19,-0.09729269220326078
