t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
5.96,-8.011219383513394e-21,-1.738075016685404e-20,-5.553877087467029e-20,0.17471910620210293,2.460205349315188e-20,1.3008322590043254e-20,-4.842601888928549e-20,0.0004432975989885393,0.0,0.0,0.0,0.17453292519943295,-1.6159958153753534e-21,3.180997045651658e-21,-9.478117861544289e-21,0.00035321117435941837,-8.48535562542639e-22,-2.7744191732343456e-21,-1.3862597907380095e-20,-0.00017367377470815126,-8.48535562542639e-22,-2.7744191732343456e-21,-1.3862597907380095e-20,-0.00017367377470815126
5.98,-7.524629083708385e-21,-1.7123211156766788e-20,-5.649023291043756e-20,0.17472775226270126,2.4329514990250492e-20,1.2876950504362485e-20,-4.757310178836352e-20,0.0004323030299166296,0.0,0.0,0.0,0.17453292519943295,-1.6358300274625762e-21,3.1576776040234277e-21,-9.162967993472633e-21,0.0003439125455179996,-8.677843039937861e-22,-2.7585638647542177e-21,-1.3401662944821038e-20,-0.00016910164311172566,-8.677843039937861e-22,-2.7585638647542177e-21,-1.3401662944821038e-20,-0.00016910164311172566
6.0,-7.043443720699446e-21,-1.6868268652101565e-20,-5.742487776358844e-20,0.17473618367027025,2.4059268150446872e-20,1.2747125233261186e-20,-4.673224265754373e-20,0.0004215703784495648,0.0,0.0,0.0,0.17453292519943295,-1.6547448492597333e-21,3.1348071510364933e-21,-8.853916984792355e-21,0.0003348177231186724,-8.862303107357606e-22,-2.7429381609027534e-21,-1.2949648111413291e-20,-0.00016462972305071393,-8.862303107357606e-22,-2.7429381609027534e-21,-1.2949648111413291e-20,-0.00016462972305071393
6.0200000000000005,-6.567617529043434e-21,-1.6615891974547685e-20,-5.834294384156778e-20,0.1747444055312877,2.3791309582800627e-20,1.2618833877693975e-20,-4.590330389896675e-20,0.0004110930508733897,0.0,0.0,0.0,0.17453292519943295,-1.6727739678653075e-21,3.112356139342947e-21,-8.55082977733732e-21,0.0003259225423334949,-9.039048578977053e-22,-2.7275231446215928e-21,-1.2506355872469211e-20,-0.00016025596668110036,-9.039048578977053e-22,-2.7275231446215928e-21,-1.2506355872469211e-20,-0.00016025596668110036
6.04,-6.097104824318697e-21,-1.6366050712599058e-20,-5.924466680508208e-20,0.17475242282406347,2.3525635236236844e-20,1.2492063097431386e-20,-4.5086148175714676e-20,0.0004008646387883675,0.0,0.0,0.0,0.17453292519943295,-1.6899498455241213e-21,3.090296891425448e-21,-8.253575353092877e-21,0.000317222908253572,-9.208379709105776e-22,-2.7123012246361582e-21,-1.2071594602385248e-20,-0.000155978360538033,-9.208379709105776e-22,-2.7123012246361582e-21,-1.2071594602385248e-20,-0.000155978360538033
6.0600000000000005,-5.631860015714562e-21,-1.6118714729502092e-20,-6.013027957482201e-20,0.17476024040232263,2.3262240430206746e-20,1.2366799154848322e-20,-4.4280638486996723e-20,0.0003908789129581404,0.0,0.0,0.0,0.17453292519943295,-1.706303764201168e-21,3.068603494513379e-21,-7.962026568907525e-21,0.0003087147956256223,-9.370584761836802e-22,-2.6972560574869106e-21,-1.1645178342892928e-20,-0.00015179492540629363,-9.370584761836802e-22,-2.6972560574869106e-21,-1.1645178342892928e-20,-0.00015179492540629363
6.08,-5.171837618030243e-21,-1.5873854170381077e-20,-6.100001233959023e-20,0.17476786299867073,2.3001119884215938e-20,1.2243027956050735e-20,-4.348663823841061e-20,0.0003811298174041917,0.0,0.0,0.0,0.17453292519943295,-1.7218658685541393e-21,3.0472517010768915e-21,-7.676059999349931e-21,0.0003003942485223683,-9.525940497104882e-22,-2.6823724738095008e-21,-1.1226926573223136e-20,-0.00014770371615822878,-9.525940497104882e-22,-2.6823724738095008e-21,-1.1226926573223136e-20,-0.00014770371615822878
6.1000000000000005,-4.71699226310506e-21,-1.5631439468591384e-20,-6.185409256574119e-20,0.1747752952279454,2.2742267746259146e-20,1.2120735089484644e-20,-4.270401130754851e-20,0.00037161146373429135,0.0,0.0,0.0,0.17453292519943295,-1.736665207362949e-21,3.0262188346054996e-21,-7.395555787261558e-21,0.0002922573799536343,-9.674712636915e-22,-2.6676364086365517e-21,-1.0816663991525927e-20,-0.0001437028215625268,-9.674712636915e-22,-2.6676364086365517e-21,-1.0816663991525927e-20,-0.0001437028215625268
6.12,-4.26727871070108e-21,-1.5391441351348106e-20,-6.269274500784524e-20,0.1747825415904593,2.2485677620199002e-20,1.1999905862163971e-20,-4.1932622105201794e-20,0.00036231812569420795,0.0,0.0,0.0,0.17453292519943295,-1.7507297734669698e-21,3.005483700401718e-21,-7.120397501616724e-21,0.0002843003714215022,-9.817156312524117e-22,-2.6530348355118723e-21,-1.0414220306978108e-20,-0.0001397903640654881,-9.817156312524117e-22,-2.6530348355118723e-21,-1.0414220306978108e-20,-0.0001397903640654881
6.140000000000001,-3.822651858858574e-21,-1.515383084467517e-20,-6.351619172049335e-20,0.17478960647513794,2.223134259212529e-20,1.1880525333646733e-20,-4.1172335632405344e-20,0.0003532442339324732,0.0,0.0,0.0,0.17453292519943295,-1.7640865422648193e-21,2.9850265011246602e-21,-6.85047200228607e-21,0.00027651947242586267,-9.953516493386727e-22,-2.6385557042120714e-21,-1.0019430041987673e-20,-0.00013596449954790494,-9.953516493386727e-22,-2.6385557042120714e-21,-1.0019430041987673e-20,-0.00013596449954790494
