t,x,y,z,yaw,vx,vy,vz,wyaw,x_ref,y_ref,z_ref,yaw_ref,u_x,u_y,u_z,u_yaw,v_x_raw,v_y_raw,v_z_raw,v_yaw_raw,v_x,v_y,v_z,v_yaw
14.76,1.3830920547359364e-19,0.20059841902213782,-1.9515663132659954e-20,2.1170997476622782e-20,-8.354885681453736e-21,-3.290712452324354e-05,1.203131990792907e-21,2.897381599652572e-23,0.0,0.2,0.0,0.0,-6.686940508972651e-21,-2.8725848449423627e-05,1.5960375962546604e-21,-3.1644570524082044e-24,-5.46458940223281e-21,2.3347895867251112e-05,2.3343482076445614e-21,1.5559621016811927e-24,-5.46458940223281e-21,2.3347895867251112e-05,2.3343482076445614e-21,1.5559621016811927e-24
14.780000000000001,1.3814172096259062e-19,0.20059775738062843,-1.9491595722260864e-20,2.117155431485772e-20,-8.374225550151599e-21,-3.3082075469810054e-05,1.2033705199544662e-21,2.7841911746887315e-23,0.0,0.2,0.0,0.0,-6.6808094387316005e-21,-2.866232813730947e-05,1.5950884897239094e-21,-5.464978236771527e-24,-5.459578441618097e-21,2.3296267605154424e-05,2.3329600541736646e-21,2.6871273277220975e-24,-5.459578441618097e-21,2.3296267605154424e-05,2.3329600541736646e-21,2.6871273277220975e-24
14.8,1.3797385653801146e-19,0.20059709229934447,-1.9467523995924235e-20,2.117208833277344e-20,-8.393221228957787e-21,-3.3254064197669665e-05,1.2035863168314889e-21,2.670089578593749e-23,0.0,0.2,0.0,0.0,-6.674635836151955e-21,-2.8599060191131405e-05,1.594126289258085e-21,-7.773382709456513e-24,-5.454532730374499e-21,2.324484446192852e-05,2.331552749647717e-21,3.822168763065891e-24,-5.454532730374499e-21,2.324484446192852e-05,2.331552749647717e-21,3.822168763065891e-24
14.82,1.378056190157358e-19,0.20059642383682355,-1.944344840224357e-20,2.117259935134844e-20,-8.411876113783533e-21,-3.3423126045702415e-05,1.2037796840333023e-21,2.5550928750036283e-23,0.0,0.2,0.0,0.0,-6.6684202944808434e-21,-2.853604255721048e-05,1.5931511836555194e-21,-1.0089479545901836e-23,-5.449452753225567e-21,2.319362476837702e-05,2.330126570201221e-21,4.960992530192104e-24,-5.449452753225567e-21,2.319362476837702e-05,2.330126570201221e-21,4.960992530192104e-24
14.84,1.3763701514433257e-19,0.20059575205090457,-1.941936938383553e-20,2.1173087194740168e-20,-8.430193570160653e-21,-3.3589295948426396e-05,1.2039509204018189e-21,2.439216958636689e-23,0.0,0.2,0.0,0.0,-6.662163400851243e-21,-2.847327320471731e-05,1.592163359379845e-21,-1.241308013651396e-23,-5.444338989899273e-21,2.314260687387529e-05,2.3286817885539717e-21,6.1035058898488885e-24,-5.444338989899273e-21,2.314260687387529e-05,2.3286817885539717e-21,6.1035058898488885e-24
14.86,1.374680516056626e-19,0.20059507699873577,-1.9395287377414358e-20,2.1173551690251446e-20,-8.44817693349879e-21,-3.375260844061293e-05,1.2041003210587244e-21,2.3224775563937765e-23,0.0,0.2,0.0,0.0,-6.655865736342185e-21,-2.8410750125451426e-05,1.5911630005888195e-21,-1.4743998161329127e-23,-5.439191915177208e-21,2.3091789146191115e-05,2.327218674053216e-21,7.249617228594317e-24,-5.439191915177208e-21,2.3091789146191115e-05,2.327218674053216e-21,7.249617228594317e-24
14.88,1.3729873501547578e-19,0.20059439873678253,-1.9371202813865315e-20,2.117399266829714e-20,-8.465829509340605e-21,-3.391309766184979e-05,1.2042281774520677e-21,2.2048902284738812e-23,0.0,0.2,0.0,0.0,-6.649527876039968e-21,-2.834847133344274e-05,1.590150289163047e-21,-1.708204956743183e-23,-5.434011998944584e-21,2.3041169971160754e-05,2.325737492715658e-21,8.399236047693068e-24,-5.434011998944584e-21,2.3041169971160754e-05,2.325737492715658e-21,8.399236047693068e-24
14.9,1.371290719240035e-19,0.2005937173208353,-1.934711611831727e-20,2.1174409962371042e-20,-8.483154573614993e-21,-3.407079736104985e-05,1.2043347774022624e-21,2.0864703694985322e-23,0.0,0.2,0.0,0.0,-6.6431503890968275e-21,-2.828643486479975e-05,1.5891254047340364e-21,-1.9427052543412162e-23,-5.42879970623818e-21,2.2990747752565584e-05,2.3242385072684993e-21,9.552272950557103e-24,-5.42879970623818e-21,2.2990747752565584e-05,2.3242385072684993e-21,9.552272950557103e-24
14.92,1.3695906881654572e-19,0.20059303280601729,-1.9323027710214322e-20,2.117480340901297e-20,-8.500155372888305e-21,-3.4225740900910066e-05,1.2044204051475065e-21,1.9672332096511612e-23,0.0,0.2,0.0,0.0,-6.636733838790689e-21,-2.8224638777336886e-05,1.5880885247121365e-21,-2.1778827496880588e-23,-5.4235554972951515e-21,2.294052091182921e-05,2.3227219771902954e-21,1.07086396316897e-23,-5.4235554972951515e-21,2.294052091182921e-05,2.3227219771902954e-21,1.07086396316897e-23
14.94,1.3678873211405346e-19,0.20059234524679204,-1.929893800338655e-20,2.1175172847776137e-20,-8.516835124613594e-21,-3.437796126231744e-05,1.204485341388628e-21,1.8471938158241605e-23,0.0,0.2,0.0,0.0,-6.6302787825834295e-21,-2.8163081150330157e-05,1.587039824314022e-21,-2.413719703068271e-23,-5.418279827600636e-21,2.2890487887818842e-05,2.3211881587511566e-21,1.1868248864990266e-23,-5.418279827600636e-21,2.2890487887818842e-05,2.3211881587511566e-21,1.1868248864990266e-23
14.96,1.3661806817370591e-19,0.20059165469697107,-1.9274847406119883e-20,2.1175518121194692e-20,-8.533197017377903e-21,-3.452749104870474e-05,1.2045298633333638e-21,1.7263670927762126e-23,0.0,0.2,0.0,0.0,-6.62378577217869e-21,-2.810176008424391e-05,1.5859794765898713e-21,-2.650198591959551e-23,-5.412973147934989e-21,2.284064713662323e-05,2.319637305052497e-21,1.3031014492295878e-23,-5.412973147934989e-21,2.284064713662323e-05,2.319637305052497e-21,1.3031014492295878e-23
14.98,1.3644708328948297e-19,0.20059096120972125,-1.9250756321225082e-20,2.117583907475155e-20,-8.549244211147603e-21,-3.467436249035607e-05,1.2045542447400784e-21,1.6047677842984577e-23,0.0,0.2,0.0,0.0,-6.617255353579789e-21,-2.8040673700389972e-05,1.5849076524502633e-21,-2.8873021088251386e-23,-5.407635904421096e-21,2.2790997131275617e-05,2.3180696660663755e-21,1.4196851412526553e-23,-5.407635904421096e-21,2.2790997131275617e-05,2.3180696660663755e-21,1.4196851412526553e-23
15.0,1.3627578369273274e-19,0.20059026483757228,-1.9226665146105862e-20,2.117613555684643e-20,-8.564979837511809e-21,-3.48186074486615e-05,1.2045587559609333e-21,1.4824104743864708e-23,0.0,0.2,0.0,0.0,-6.610688067145072e-21,-2.7979820140822034e-05,1.5838245206923858e-21,-3.1250131586438093e-23,-5.402268538569596e-21,2.2741536361667877e-05,2.316485488673827e-21,1.5365675569540234e-23,-5.402268538569596e-21,2.2741536361667877e-05,2.316485488673827e-21,1.5365675569540234e-23
15.02,1.3610417555273425e-19,0.20058956563242386,-1.920257427282617e-20,2.1176407418764115e-20,-8.58040699992385e-21,-3.496025742032555e-05,1.204543663984504e-21,1.35930958842361e-23,0.0,0.2,0.0,0.0,-6.604084447645667e-21,-2.7919197567890706e-05,1.5827302480265204e-21,-3.363314856856352e-23,-5.396871487326073e-21,2.2692263334188896e-05,2.314885016703598e-21,1.6537403942035632e-23,-5.396871487326073e-21,2.2692263334188896e-05,2.314885016703598e-21,1.6537403942035632e-23
15.040000000000001,1.3593226497725543e-19,0.20058886364555303,-1.9178484088176614e-20,2.1176654514642987e-20,-8.595528773940855e-21,-3.5099343541523995e-05,1.2045092324778655e-21,1.235479394366158e-23,0.0,0.2,0.0,0.0,-6.597445024319548e-21,-2.7858804164148537e-05,1.581624999101551e-21,-3.6021905269485266e-23,-5.3914451831152225e-21,2.264317657164736e-05,2.313268490969456e-21,1.7711954531667644e-23,-5.3914451831152225e-21,2.264317657164736e-05,2.313268490969456e-21,1.7711954531667644e-23
15.06,1.357600580131062e-19,0.2005881589276212,-1.9154394973740052e-20,2.1176876701443774e-20,-8.61034820746142e-21,-3.523589659201562e-05,1.2044557218281404e-21,1.1109340039381848e-23,0.0,0.2,0.0,0.0,-6.590770320927834e-21,-2.7798638131948643e-05,1.5805089365307036e-21,-3.84162369839393e-23,-5.38599005388685e-21,2.259427461294553e-05,2.3116361493078372e-21,1.8889246352932425e-23,-5.38599005388685e-21,2.259427461294553e-05,2.3116361493078372e-21,1.8889246352932425e-23
15.08,1.3558756064668696e-19,0.2005874515286812,-1.9130307305956383e-20,2.117707383891854e-20,-8.624868320961416e-21,-3.5369946999204125e-05,1.2043833891835263e-21,9.856873738278612e-24,0.0,0.2,0.0,0.0,-6.584060855808168e-21,-2.7738697693316773e-05,1.579382220916479e-21,-4.0815981043127886e-23,-5.380506523159484e-21,2.2545556012975253e-05,2.30998822661431e-21,2.0069199421655686e-23,-5.380506523159484e-21,2.2545556012975253e-05,2.30998822661431e-21,2.0069199421655686e-23
15.1,1.354147788045324e-19,0.20058674149818437,-1.9106221456186507e-20,2.1177245789579916e-20,-8.639092107727905e-21,-3.5501524842155404e-05,1.2042924884938003e-21,8.597533068914156e-24,0.0,0.2,0.0,0.0,-6.577317141929307e-21,-2.7678981089626154e-05,1.5782450108756914e-21,-4.322097679390748e-23,-5.374995010064979e-21,2.2497019342353692e-05,2.3083249548801995e-21,2.1251734744759398e-23,-5.374995010064979e-21,2.2497019342353692e-05,2.3083249548801995e-21,2.1251734744759398e-23
15.120000000000001,1.3524171835385057e-19,0.20058602888498725,-1.90821377907755e-20,2.1177392418670587e-20,-8.65302253409121e-21,-3.563065985556727e-05,1.204183270550315e-21,7.331454533587384e-24,0.0,0.2,0.0,0.0,-6.570539686944047e-21,-2.7619486581390625e-05,1.5770974630638611e-21,-4.5631065576664636e-23,-5.369455929391753e-21,2.244866318725519e-05,2.306646563228262e-21,2.2436774309383374e-23,-5.369455929391753e-21,2.244866318725519e-05,2.306646563228262e-21,2.2436774309383374e-23
15.14,1.3506838510305747e-19,0.20058531373735858,-1.905805667111499e-20,2.1177513594132996e-20,-8.66666253965513e-21,-3.575738143369414e-05,1.204055983025487e-21,6.0587731204345534e-24,0.0,0.2,0.0,0.0,-6.563728993241934e-21,-2.7560212448051596e-05,1.5759397321994718e-21,-4.8046090703673346e-23,-5.363889691627858e-21,2.2400486149238093e-05,2.3049532779481635e-21,2.3624241072243593e-23,-5.363889691627858e-21,2.2400486149238093e-05,2.3049532779481635e-21,2.3624241072243593e-23
15.16,1.3489478480230698e-19,0.2005845961029859,-1.9033978453704755e-20,2.1177609186579308e-20,-8.680015037525336e-21,-3.588171863422713e-05,1.2039108705117868e-21,4.7796223155625025e-24,0.0,0.2,0.0,0.0,-6.5568855580019e-21,-2.7501156987684984e-05,1.5747719710879321e-21,-5.0465897438523717e-23,-5.358296703003979e-21,2.2352486845006582e-05,2.3032453225315264e-21,2.4814058949517283e-23,-5.358296703003979e-21,2.2352486845006582e-05,2.3032453225315264e-21,2.4814058949517283e-23
15.18,1.3472092314401627e-19,0.20058387602898226,-1.900990349021355e-20,2.1177679069261613e-20,-8.693082914535926e-21,-3.600370018212848e-05,1.2037481745602358e-21,3.494134115189593e-24,0.0,0.2,0.0,0.0,-6.550009873243927e-21,-2.7442318516779493e-05,1.5735943306451692e-21,-5.289033297498488e-23,-5.352677365535654e-21,2.2304663906230432e-05,2.301522917706437e-21,2.6006152806449825e-23,-5.352677365535654e-21,2.2304663906230432e-05,2.301522917706437e-21,2.6006152806449825e-23
15.200000000000001,1.345468057633868e-19,0.2005831535618928,-1.8985832127539182e-20,2.1177723118042368e-20,-8.705869031474197e-21,-3.6123354473422165e-05,1.2035681337184175e-21,2.2024390378065405e-24,0.0,0.2,0.0,0.0,-6.543102425879629e-21,-2.738369537008537e-05,1.572406959920876e-21,-5.531924641532625e-23,-5.3470320770645924e-21,2.2257015979422115e-05,2.299786281471446e-21,2.720044844669533e-23,-5.3470320770645924e-21,2.2257015979422115e-05,2.299786281471446e-21,2.720044844669533e-23
15.22,1.3437243823892073e-19,0.2005824287477012,-1.8961764707867822e-20,2.1177741211365094e-20,-8.718376223303597e-21,-3.624070957894239e-05,1.203370983568007e-21,9.046661363683145e-25,0.0,0.2,0.0,0.0,-6.536163697764012e-21,-2.7325285900260958e-05,1.57121000612169e-21,-5.77524887511545e-23,-5.341361231300968e-21,2.2209541725649497e-05,2.298035629129471e-21,2.839687260289418e-23,-5.341361231300968e-21,2.2209541725649497e-05,2.298035629129471e-21,2.839687260289418e-23
15.24,1.3419782609293302e-19,0.20058170163183625,-1.8937701568732586e-20,2.1177733230225303e-20,-8.730607299384912e-21,-3.6355793248036674e-05,1.2031569567618281e-21,-3.9905698953937476e-25,0.0,0.2,0.0,0.0,-6.529194165744505e-21,-2.726708847778205e-05,1.5700036146337286e-21,-6.01899128414219e-23,-5.335665217863481e-21,2.2162239820462174e-05,2.296271173320755e-21,2.9595352925859735e-23,-5.335665217863481e-21,2.2162239820462174e-05,2.296271173320755e-21,2.9595352925859735e-23
15.26,1.340229747920591e-19,0.200580972259178,-1.8913643043071377e-20,2.1177699058141673e-20,-8.742565043695675e-21,-3.6468632912228896e-05,1.2029262830604394e-21,-1.7086041814958388e-24,0.0,0.2,0.0,0.0,-6.522194301711365e-21,-2.7209101490644058e-05,1.56878792904518e-21,-6.263137339313083e-23,-5.329944422320536e-21,2.211510895364941e-05,2.2944931240559088e-21,3.0795817975090783e-23,-5.329944422320536e-21,2.211510895364941e-05,2.2944931240559088e-21,3.0795817975090783e-23
15.280000000000001,1.3384788974775815e-19,0.20058024067406424,-1.8889589459284012e-20,2.1177638581127473e-20,-8.754252215047812e-21,-3.657925568883884e-05,1.2026791893682602e-21,-3.0238507100641283e-24,0.0,0.2,0.0,0.0,-6.515164572646624e-21,-2.7151323344171748e-05,1.567563091168419e-21,-6.507672694094307e-23,-5.3241992262302364e-21,2.206814782908547e-05,2.292701688748256e-21,3.1998197208745397e-23,-5.3241992262302364e-21,2.206814782908547e-05,2.292701688748256e-21,3.1998197208745397e-23
15.3,1.3367257631681208e-19,0.20057950692029655,-1.8865541141288627e-20,2.117755168766222e-20,-8.765671547303551e-21,-3.668768838456071e-05,1.2024158997692391e-21,-4.344673262607761e-24,0.0,0.2,0.0,0.0,-6.50810544067292e-21,-2.7093752460774848e-05,1.5663292410619499e-21,-6.752583182786028e-23,-5.318430007180279e-21,2.2021355164530996e-05,2.2908970722459272e-21,3.320242097414153e-23,-5.318430007180279e-21,2.2021355164530996e-05,2.2908970722459272e-21,3.320242097414153e-23
15.32,1.334970398018203e-19,0.20057877104114658,-1.8841498408577385e-20,2.1177438268663597e-20,-8.776825749589593e-21,-3.6793957499000034e-05,1.2021366355620739e-21,-5.670949931129107e-24,0.0,0.2,0.0,0.0,-6.501017363101321e-21,-2.7036387279806237e-05,1.5650865170519056e-21,-6.997854818442394e-23,-5.312637138827031e-21,2.1974729691517753e-05,2.289079476863305e-21,3.440842049752971e-23,-5.312637138827031e-21,2.1974729691517753e-05,2.289079476863305e-21,3.440842049752971e-23
