t,x_meas,x_model,y_meas,y_model,z_meas,z_model,yaw_meas,yaw_model,vx_meas,vx_model,vy_meas,vy_model,vz_meas,vz_model,wyaw_meas,wyaw_model,ux,uy,uz,uyaw
0.0,0.189957,0.189957,-0.774067,-0.774067,1.31392,1.31392,-1.63358,-1.63358,-0.00891865,-0.00891865,0.0239741,0.0239741,-0.00716756,-0.00716756,-0.00493637,-0.00493637,0.0,0.0,0.25,0.0
0.009740114212036133,0.1899,0.18987066571351663,-0.773806,-0.7738347258780772,1.31396,1.3138671351269051,-1.63376,-1.633627126915744,-0.0087013,-0.008863785845207538,0.0241179,0.02384716614879833,-0.00637909,-0.005427541396745204,-0.00584138,-0.004838435640286045,0.0,0.0,0.25,0.0
0.02010798454284668,0.189859,0.1897793414957339,-0.773537,-0.7735888852046482,1.31401,1.3138298647536806,-1.63384,-1.633676231819684,-0.00838311,-0.00880838734174361,0.0243143,0.023711781261235604,-0.00562575,-0.003594795462848281,-0.00593023,-0.0047362575315082,0.0,0.0,0.25,0.0
0.030038118362426758,0.189817,0.18969233421331125,-0.773264,-0.7733547275563278,1.31406,1.3138114044549358,-1.63365,-1.6337223122097253,-0.00809754,-0.008761944602508285,0.0245163,0.023580512868688112,-0.00487296,-0.0018590181240444432,-0.00424575,-0.004640460126571457,0.0,0.0,0.25,0.0
0.04011201858520508,0.189767,0.189604516419612,-0.772995,-0.773118522462034,1.31412,1.3138102264946672,-1.63336,-1.6337681005188374,-0.00787938,-0.00871735790083325,0.0246814,0.023447233848884856,-0.00412425,-0.00011693189754226514,-0.00197119,-0.00454524147544033,0.0,0.0,0.25,0.0
0.05006909370422363,0.189723,0.18951821552310183,-0.772726,-0.7728863378468851,1.3142,1.3138260212137924,-1.63334,-1.6338124399539629,-0.0076396,-0.008667293906955796,0.0248312,0.02331855613959472,-0.00333717,0.001586281004869912,-0.00171706,-0.004453058211931165,0.0,0.0,0.25,0.0
0.0600740909576416,0.189685,0.18943203914670714,-0.772452,-0.7726543076105854,1.31428,1.3138588310949317,-1.63349,-1.6338560848522685,-0.00738146,-0.008613333338521158,0.0250137,0.02319143428254064,-0.00255697,0.003279349339948912,-0.00262861,-0.00436230987376451,0.0,0.0,0.25,0.0
0.07004714012145996,0.189648,0.18934670799923026,-0.772176,-0.7724242614676505,1.31436,1.3139081860886435,-1.6338,-1.6338987066202062,-0.00712308,-0.008556174353022895,0.0251913,0.023066781197613115,-0.00181366,0.0049488369004369315,-0.00453203,-0.0042736947585027656,0.0,0.0,0.25,0.0
0.08027410507202148,0.189659,0.18925978864566514,-0.771902,-0.772189662768576,1.31445,1.3139761182159673,-1.63407,-1.63394150308776,-0.00655728,-0.008499037005140722,0.0253438,0.022939229791882745,-0.00106642,0.006642452345563448,-0.00612191,-0.004184669426429758,0.0,0.0,0.25,0.0
0.09027695655822754,0.189666,0.1891752189514906,-0.771611,-0.7719614870189557,1.31454,1.314058949021275,-1.63385,-1.6339825088655757,-0.00606176,-0.008454558611730865,0.0255962,0.022811070416768504,-0.000390344,0.008280719295097994,-0.0041615,-0.004099408840791561,0.0,0.0,0.25,0.0
0.09984302520751953,0.189665,0.189094781643774,-0.7713,-0.7717444277507753,1.31461,1.3141529890381678,-1.6338,-1.634020959989585,-0.00564997,-0.008408606572413527,0.0259801,0.02269054050709203,0.000163671,0.009830581437399198,-0.0035304,-0.00401953251840717,0.0,0.0,0.25,0.0
0.11009407043457031,0.189664,0.1890091453325446,-0.770985,-0.7715131212997757,1.31469,1.3142706128138235,-1.634,-1.6340613040491887,-0.00526958,-0.00835391019477936,0.0263562,0.0225641820786557,0.000685392,0.011474320232771795,-0.00465525,-0.003935604488132834,0.0,0.0,0.25,0.0
0.12001395225524902,0.189664,0.1889268075760135,-0.770674,-0.7712904896834608,1.31477,1.314400041545928,-1.63424,-1.6340995559426856,-0.00490602,-0.008300275952830588,0.0266843,0.022442970625997764,0.001198,0.013047406657072588,-0.00601455,-0.0038560835893515872,0.0,0.0,0.25,0.0
0.1300821304321289,0.189648,0.1888437670066654,-0.770358,-0.7710657679644596,1.31486,1.314547308407864,-1.63441,-1.6341375834987861,-0.00467666,-0.008247824769212654,0.0270205,0.022319998221458217,0.00170615,0.014626962231780597,-0.00672251,-0.003777004680736214,0.0,0.0,0.25,0.0
0.13987207412719727,0.189594,0.18876351413783857,-0.770046,-0.7708484218884644,1.31495,1.314705379013212,-1.63456,-1.6341738228160874,-0.00472607,-0.008197480121080295,0.027311,0.022200952606567265,0.00223337,0.016146222110298696,-0.00732688,-0.00370168802088229,0.0,0.0,0.25,0.0
0.1498241424560547,0.189567,0.1886824599411961,-0.76974,-0.7706286665465967,1.31505,1.3148812755218093,-1.63481,-1.634209915493073,-0.00458835,-0.008144457409666692,0.0275403,0.022081373901998345,0.00276429,0.01767436705466095,-0.00853521,-0.003626650842103247,0.0,0.0,0.25,0.0
0.1601259708404541,0.189574,0.18859907175394888,-0.769446,-0.7704024737668097,1.31516,1.3150794752103,-1.63486,-1.6342464926608031,-0.00422199,-0.008094503629423024,0.0276663,0.02195656647993981,0.00334885,0.019239272980991446,-0.00828442,-0.0035505510638965455,0.0,0.0,0.25,0.0
0.17002511024475098,0.189568,0.18851940501566528,-0.769165,-0.770186306965365,1.31529,1.3152846480798965,-1.63486,-1.6342809313745432,-0.00397309,-0.008047844871144997,0.027695,0.021836928708244517,0.00395903,0.020726333999026455,-0.00769727,-0.003478960375607109,0.0,0.0,0.25,0.0
0.17970705032348633,0.18957,0.1884419276565507,-0.768882,-0.7699760090924925,1.31541,1.3154992508956995,-1.63487,-1.634313950201206,-0.00368851,-0.008002255589736496,0.027736,0.02172063358813719,0.0045136,0.02216526998286075,-0.00728387,-0.0034103523048349617,0.0,0.0,0.25,0.0
0.1898670196533203,0.189566,0.18836111256925075,-0.7686,-0.769756559834219,1.31552,1.3157396308428186,-1.6349,-1.634347882229438,-0.00346064,-0.007954264887654732,0.0277689,0.021599401646726763,0.00498482,0.02365951503547775,-0.00694248,-0.003339776640091262,0.0,0.0,0.25,0.0
0.20011496543884277,0.189564,0.18828008192837037,-0.768306,-0.769536459742703,1.31564,1.3159973688996505,-1.63489,-1.6343813936580789,-0.00323237,-0.007907013032294569,0.0278819,0.02147748398775499,0.00549358,0.025150216660593302,-0.00645194,-0.003270063029449438,0.0,0.0,0.25,0.0
0.20998692512512207,0.189552,0.18820243919154553,-0.768016,-0.7693255994227627,1.31577,1.3162596706804042,-1.63473,-1.6344130264666623,-0.00309418,-0.007864977095960835,0.0279565,0.0213595199576628,0.00598251,0.02657038613297777,-0.00484317,-0.0032043089304197333,0.0,0.0,0.25,0.0
0.22001314163208008,0.189561,0.18812403295773758,-0.767739,-0.7691126300421884,1.31591,1.316540378880696,-1.63468,-1.634444497458983,-0.00282077,-0.007820121753159043,0.0279413,0.021241250917175287,0.00652119,0.02799742057204789,-0.00417513,-0.0031388702107978807,0.0,0.0,0.25,0.0
0.22997212409973145,0.189594,0.188046553644491,-0.767462,-0.7689022670006586,1.31606,1.3168331688671537,-1.63444,-1.6344751232994217,-0.00239746,-0.007779842318053383,0.0279225,0.02112294526205015,0.00712453,0.029399588503018857,-0.00228783,-0.0030751977461712034,0.0,0.0,0.25,0.0
0.23998308181762695,0.189602,0.18796904405757087,-0.767195,-0.7686920007450772,1.31621,1.3171414459517257,-1.63406,-1.63450528122271,-0.00218066,-0.007742474706648415,0.0278358,0.02100361039438927,0.00768681,0.030793965298732715,0.00052989,-0.00301249132582717,0.0,0.0,0.25,0.0
0.25001096725463867,0.189594,0.18789183159030748,-0.766918,-0.7684825507569529,1.31638,1.3174640996784261,-1.63394,-1.6345348731083504,-0.00208698,-0.007699775565685234,0.0278296,0.020886755182823704,0.00827948,0.03217564946540536,0.00128498,-0.002950959683996451,0.0,0.0,0.25,0.0
0.26008105278015137,0.189565,0.187814660961145,-0.766636,-0.7682734175651414,1.31655,1.3178019326393904,-1.63352,-1.6345639799977778,-0.0021409,-0.00766335389773865,0.0278527,0.020767767193405135,0.00888146,0.03354817197017949,0.00413829,-0.0028904312037390406,0.0,0.0,0.25,0.0
0.2700660228729248,0.189562,0.18773854617679386,-0.766348,-0.7680672069107941,1.31673,1.3181503516044284,-1.63332,-1.6345922538920323,-0.00201594,-0.007622935636654755,0.0279207,0.020652105357494906,0.00953351,0.034894342376673174,0.00520496,-0.0028316453621526232,0.0,0.0,0.25,0.0
0.2801499366760254,0.189579,0.1876620994310461,-0.766043,-0.7678601194416066,1.31693,1.318515784987707,-1.63318,-1.6346202214700103,-0.00175697,-0.007581059025342913,0.0280992,0.020536418024901717,0.0102317,0.03623924107386364,0.00578854,-0.002773484435108969,0.0,0.0,0.25,0.0
0.290086030960083,0.1896,0.18758725165690238,-0.76575,-0.7676571678840995,1.31713,1.3188888857403813,-1.63339,-1.6346472213473866,-0.0014916,-0.007532917060156889,0.0281801,0.020425687569480214,0.0109137,0.03755004149599435,0.00395017,-0.0027173531776539116,0.0,0.0,0.25,0.0
0.3002150058746338,0.189626,0.18751149140643972,-0.765478,-0.7674513967016311,1.31733,1.3192826192166893,-1.63383,-1.6346741774906874,-0.00120991,-0.007479557517102598,0.0281162,0.020315104361930895,0.0115263,0.03887199638952681,0.000647736,-0.0026612903604035934,0.0,0.0,0.25,0.0
0.3097360134124756,0.189625,0.1874407251987415,-0.7652,-0.7672589709560487,1.31753,1.3196644216792792,-1.6341,-1.6346990242718142,-0.00113585,-0.007432638553951045,0.0280922,0.020210649431550577,0.0121071,0.04010105664473042,-0.00124237,-0.002609679808359816,0.0,0.0,0.25,0.0
0.31990504264831543,0.189616,0.18736559204706152,-0.764916,-0.7670545978862183,1.31773,1.320085422711299,-1.63411,-1.6347250125025674,-0.00111743,-0.007388429115255824,0.028115,0.020097598806194522,0.0126852,0.04140031681057142,-0.00124846,-0.00255562553222971,0.0,0.0,0.25,0.0
0.33000802993774414,0.189593,0.18729139402217806,-0.764625,-0.766852678254305,1.31795,1.3205165880034553,-1.63415,-1.6347503006299398,-0.00120276,-0.0073441669040880475,0.0281785,0.019986131440998502,0.0132854,0.04267701025491406,-0.0014265,-0.002503034661720478,0.0,0.0,0.25,0.0
