t,x_meas,x_model,y_meas,y_model,z_meas,z_model,yaw_meas,yaw_model,vx_meas,vx_model,vy_meas,vy_model,vz_meas,vz_model,wyaw_meas,wyaw_model,ux,uy,uz,uyaw
0.0,0.240139,0.240139,-0.774878,-0.774878,1.48168,1.48168,-2.94489,-2.94489,-0.00789512,-0.00789512,0.00928077,0.00928077,-0.112956,-0.112956,-0.000790793,-0.000790793,0.25,0.0,0.0,0.0
0.009978055953979492,0.240087,0.24003074430935226,-0.774723,-0.7747919390536043,1.48077,1.4805650235757624,-2.9444,-2.9448977302086883,-0.00770772,-0.010849376987564444,0.00971231,0.008625021426272916,-0.111502,-0.11174285145123453,0.00262036,-0.0007747209199837366,0.25,0.0,0.0,0.0
0.02004408836364746,0.240006,0.23989174550734255,-0.774576,-0.7747117011313666,1.47984,1.479452403364653,-2.94441,-2.9449053686831177,-0.0077359,-0.01380869804037395,0.0100556,0.007971156754942742,-0.110191,-0.11053215068539027,0.00237666,-0.0007588366616197394,0.25,0.0,0.0,0.0
0.030024051666259766,0.239924,0.23972482811390328,-0.774417,-0.7746385540853652,1.47894,1.4783611461996733,-2.94459,-2.944912787898757,-0.00776995,-0.016725251223675942,0.0104577,0.00732939027763768,-0.10882,-0.10934480737961526,0.000976369,-0.0007434111142526727,0.25,0.0,0.0,0.0
0.04003620147705078,0.239886,0.23952823898622388,-0.774244,-0.7745715613996783,1.47809,1.4772781676939222,-2.94482,-2.94492007925084,-0.00749555,-0.01963505654575012,0.0109317,0.006691138961449191,-0.107205,-0.10816643040878207,-0.000677477,-0.0007282503978623793,0.25,0.0,0.0,0.0
0.050004005432128906,0.239918,0.23930379719271738,-0.774064,-0.7745111640088957,1.47725,1.4762115537063127,-2.94499,-2.9449271909265127,-0.0067604,-0.022516674135846043,0.0114119,0.006059247458591093,-0.105565,-0.10700591548713903,-0.0018143,-0.0007134646412534895,0.25,0.0,0.0,0.0
0.06016802787780762,0.239952,0.2390452325073559,-0.773904,-0.7744560836531968,1.47654,1.4751358418314333,-2.94515,-2.944934292467301,-0.00605996,-0.02543920841806197,0.0117293,0.005419149356786531,-0.103201,-0.10583525180395972,-0.00278879,-0.0006986939301245633,0.25,0.0,0.0,0.0
0.0697181224822998,0.239961,0.23877618598760858,-0.773719,-0.7744101492607761,1.47577,1.4741354948984415,-2.94487,-2.944940835263135,-0.00557731,-0.028172131365146607,0.0121995,0.004809836375774517,-0.10137,-0.10474733229566224,-0.000683223,-0.0006851027246362031,0.25,0.0,0.0,0.0
0.08022618293762207,0.239943,0.2384487185682639,-0.773538,-0.7743666673372277,1.47505,1.4730472529528194,-2.94446,-2.9449478802776383,-0.00531913,-0.031163450261537072,0.0126067,0.004137959020434114,-0.099376,-0.10356258895247097,0.00223594,-0.0006704390913193043,0.25,0.0,0.0,0.0
0.09000301361083984,0.23993,0.23811698982584076,-0.773376,-0.7743323123772263,1.47444,1.4720453941638945,-2.94407,-2.9449543045145523,-0.00504707,-0.03393008977151231,0.0128499,0.003513915823000229,-0.0967583,-0.10247275650065692,0.00475973,-0.0006570878773213829,0.25,0.0,0.0,0.0
