t,x_meas,x_model,y_meas,y_model,z_meas,z_model,yaw_meas,yaw_model,vx_meas,vx_model,vy_meas,vy_model,vz_meas,vz_model,wyaw_meas,wyaw_model,ux,uy,uz,uyaw
0.0,1.25303e-05,1.25303e-05,5.64441e-14,5.64441e-14,1.297,1.297,4.22557e-14,4.218847493575595e-14,-3.27367e-11,-3.27367e-11,-1.5299e-24,-1.5299e-24,8.15221e-09,8.15221e-09,2.03284e-18,2.03284e-18,0.0,0.0,0.0,0.0
0.03373003005981445,1.25303e-05,1.2530298971058634e-05,5.64441e-14,5.6444099999954995e-14,1.297,1.297000000260652,4.22558e-14,4.218847493575595e-14,-3.28526e-11,-3.050520154380646e-11,-1.53465e-24,-1.3342397896622852e-24,8.15221e-09,7.72760188354462e-09,2.03579e-18,1.8998495188476833e-18,0.0,0.0,0.0,0.0
0.06745696067810059,1.25303e-05,1.2530298012336758e-05,5.64441e-14,5.6444099999915936e-14,1.297,1.2970000005077067,4.22559e-14,4.218847493575595e-14,-3.29687e-11,-2.8426004342855746e-11,-1.53941e-24,-1.1579869617878256e-24,8.15221e-09,7.325146479199465e-09,2.03873e-18,1.7755708325721714e-18,0.0,0.0,0.0,0.0
0.09861183166503906,1.25303e-05,1.2530297182486966e-05,5.64441e-14,5.6444099999884426e-14,1.297,1.2970000007249416,4.22559e-14,4.218847493575595e-14,-3.3085e-11,-2.663627755208682e-11,-1.54417e-24,-1.0114932770030634e-24,8.15221e-09,6.972744389108348e-09,2.04167e-18,1.6682795119994306e-18,0.0,0.0,0.0,0.0
0.13933801651000977,1.25303e-05,1.2530296186975423e-05,5.64441e-14,5.6444099999850303e-14,1.297,1.2970000009910563,4.2256e-14,4.218847493575595e-14,-3.32015e-11,-2.4444016724888227e-11,-1.54895e-24,-8.379380105167947e-25,8.15221e-09,6.534240269555174e-09,2.04461e-18,1.5365014319661011e-18,0.0,0.0,0.0,0.0
0.1684408187866211,1.25303e-05,1.2530295517425603e-05,5.64441e-14,5.644409999982908e-14,1.297,1.297000001172675,4.22561e-14,4.218847493575595e-14,-3.33182e-11,-2.3006369451888705e-11,-1.55373e-24,-7.292858489527754e-25,8.15221e-09,6.240592901040954e-09,2.04754e-18,1.4497716190809902e-18,0.0,0.0,0.0,0.0
0.19868898391723633,1.25303e-05,1.2530294864064518e-05,5.64441e-14,5.644409999981013e-14,1.297,1.2970000013526244,4.22562e-14,4.218847493575595e-14,-3.34351e-11,-2.1600023754190294e-11,-1.55852e-24,-6.265268111633836e-25,8.15221e-09,5.949104624268706e-09,2.05047e-18,1.364716734358178e-18,0.0,0.0,0.0,0.0
0.2393050193786621,1.25303e-05,1.2530294058767427e-05,5.64441e-14,5.6444099999789757e-14,1.297,1.2970000015790988,4.22562e-14,4.218847493575595e-14,-3.35522e-11,-1.9827072797642417e-11,-1.56331e-24,-5.016221507038055e-25,8.15221e-09,5.575987362903753e-09,2.05339e-18,1.2572087602882204e-18,0.0,0.0,0.0,0.0
0.2689969539642334,1.25303e-05,1.2530293505388148e-05,5.64441e-14,5.6444099999777223e-14,1.297,1.2970000017370698,4.22563e-14,4.218847493575595e-14,-3.36695e-11,-1.8637360200178804e-11,-1.56812e-24,-4.220923590825978e-25,8.15221e-09,5.3203310738453815e-09,2.05631e-18,1.184807433490664e-18,0.0,0.0,0.0,0.0
0.3025188446044922,1.25303e-05,1.2530292922952565e-05,5.64441e-14,5.6444099999765794e-14,1.297,1.2970000019061854,4.22564e-14,4.218847493575595e-14,-3.37871e-11,-1.7374783217470228e-11,-1.57293e-24,-3.4094650196937343e-25,8.15221e-09,5.044931433892154e-09,2.05923e-18,1.1077744166288172e-18,0.0,0.0,0.0,0.0
