t,x_meas,x_model,y_meas,y_model,z_meas,z_model,yaw_meas,yaw_model,vx_meas,vx_model,vy_meas,vy_model,vz_meas,vz_model,wyaw_meas,wyaw_model,ux,uy,uz,uyaw
0.0,1.24799e-05,1.24799e-05,1.55715e-13,1.55715e-13,1.294,1.294,-6.85478e-14,-6.838973831690964e-14,-2.5773e-11,-2.5773e-11,1.87435e-24,1.87435e-24,8.15223e-09,8.15223e-09,-1.27586e-18,-1.27586e-18,0.0,0.0,0.0,0.0
0.028905153274536133,1.24799e-05,1.2479899298544639e-05,1.55715e-13,1.5571500000004812e-13,1.294,1.2940000002251237,-6.85478e-14,-6.838973831690964e-14,-2.58759e-11,-2.4267484558192236e-11,1.88132e-24,1.664725776925736e-24,8.15223e-09,7.788358613686185e-09,-1.27808e-18,-1.2043315309311423e-18,0.0,0.0,0.0,0.0
0.07602906227111816,1.24799e-05,1.2479898263872039e-05,1.55715e-13,1.5571500000011184e-13,1.294,1.2940000005654346,-6.85478e-14,-6.838973831690964e-14,-2.59789e-11,-2.195642554951555e-11,1.8883e-24,1.3522088916273537e-24,8.15223e-09,7.22161915147119e-09,-1.28028e-18,-1.0942567076582732e-18,0.0,0.0,0.0,0.0
0.10309815406799316,1.24799e-05,1.2479897702044311e-05,1.55715e-13,1.5571500000014428e-13,1.294,1.2940000007527463,-6.85479e-14,-6.838973831690964e-14,-2.60821e-11,-2.0755322448258915e-11,1.8953e-24,1.1979752482877755e-24,8.15223e-09,6.9197599138631844e-09,-1.28249e-18,-1.036806244576441e-18,0.0,0.0,0.0,0.0
0.13305211067199707,1.24799e-05,1.2479897117974495e-05,1.55715e-13,1.5571500000017548e-13,1.294,1.2940000009504333,-6.85479e-14,-6.838973831690964e-14,-2.61856e-11,-1.949892037303533e-11,1.90231e-24,1.041363150010511e-24,8.15223e-09,6.599692524451865e-09,-1.28469e-18,-9.765707567542077e-19,0.0,0.0,0.0,0.0
0.16290903091430664,1.24799e-05,1.2479896570924148e-05,1.55715e-13,1.5571500000020234e-13,1.294,1.2940000011383952,-6.8548e-14,-6.838973831690964e-14,-2.62892e-11,-1.8322397058666795e-11,1.90934e-24,8.996400611459388e-25,8.15223e-09,6.295418474371444e-09,-1.28689e-18,-9.200185762812656e-19,0.0,0.0,0.0,0.0
0.19574999809265137,1.24799e-05,1.2479896009134408e-05,1.55715e-13,1.5571500000022723e-13,1.294,1.2940000013346582,-6.8548e-14,-6.838973831690964e-14,-2.63931e-11,-1.7106370128093103e-11,1.91637e-24,7.582474853348474e-25,8.15222e-09,5.9761641800356786e-09,-1.28909e-18,-8.614164779971363e-19,0.0,0.0,0.0,0.0
0.23251104354858398,1.24799e-05,1.2479895427003744e-05,1.55715e-13,1.557150000002499e-13,1.294,1.2940000015418773,-6.85481e-14,-6.838973831690964e-14,-2.64972e-11,-1.583553069425942e-11,1.92343e-24,6.163801811304519e-25,8.15222e-09,5.6369245516608184e-09,-1.29129e-18,-7.999976308470805e-19,0.0,0.0,0.0,0.0
0.2637350559234619,1.24799e-05,1.2479894963754967e-05,1.55715e-13,1.5571500000026582e-13,1.294,1.2940000017093984,-6.85481e-14,-6.838973831690964e-14,-2.66014e-11,-1.4836298779220896e-11,1.93049e-24,5.100794195447528e-25,8.15222e-09,5.365138517138536e-09,-1.29348e-18,-7.515493866384385e-19,0.0,0.0,0.0,0.0
0.30194592475891113,1.24799e-05,1.2479894440623936e-05,1.55715e-13,1.5571500000028084e-13,1.294,1.2940000019023088,-6.85481e-14,-6.838973831690964e-14,-2.67059e-11,-1.3690634302003769e-11,1.93757e-24,3.932602811443334e-25,8.15222e-09,5.048572671744766e-09,-1.29568e-18,-6.958506853713876e-19,0.0,0.0,0.0,0.0
